,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.18,1.59,1.53,1.77,1.5,1.53,0.31,0.32,0.44,0.34,1.46,0.36,0.18,0.42,0.29,0.35
e_1,0.88,0.18,2.05,1.74,1.96,1.76,0.6,0.37,0.63,0.32,0.37,0.32,0.28,1.03,0.5,0.25
c_1,2.0,1.42,0.15,1.96,1.75,1.21,0.43,0.21,0.58,1.22,0.32,0.29,0.25,0.38,0.31,0.24
d_1,1.63,2.12,1.73,0.15,1.51,1.55,0.56,1.57,0.28,0.29,0.3,0.46,0.27,0.33,0.34,0.15
b_1,1.77,2.04,0.85,1.94,0.13,1.99,0.48,0.37,0.56,0.38,0.33,1.47,0.22,0.35,0.38,0.18
a_1,1.83,1.69,1.57,1.89,0.88,0.1,0.58,0.43,0.47,0.45,0.37,0.44,0.24,0.28,1.27,0.28
h_1,0.87,1.09,0.94,0.86,1.08,1.12,0.06,0.17,0.27,0.21,0.18,0.16,0.33,0.17,0.15,0.12
d_0,1.01,0.53,1.1,3.14,0.9,0.79,0.3,0.08,0.32,0.22,0.21,0.21,0.16,0.15,0.16,0.27
g_1,1.01,0.83,1.21,0.89,1.03,1.12,0.17,0.22,0.05,0.16,0.21,0.15,0.1,0.19,0.21,0.39
c_0,1.11,0.84,4.61,0.4,1.36,0.98,0.22,0.18,0.37,0.07,0.18,0.18,0.16,0.15,0.21,0.15
f_0,2.78,0.75,0.93,0.65,0.96,1.04,0.37,0.15,0.16,0.18,0.06,0.18,0.12,0.16,0.22,0.09
b_0,1.0,0.83,1.18,0.85,2.41,0.97,0.25,0.18,0.22,0.09,0.17,0.06,0.1,0.14,0.15,0.11
h_0,1.27,0.71,0.93,1.0,0.84,0.82,0.61,0.18,0.28,0.19,0.17,0.18,0.25,0.16,0.17,0.15
e_0,1.06,1.6,1.24,0.68,1.04,0.77,0.31,0.24,0.2,0.13,0.08,0.17,0.13,0.04,0.13,0.12
a_0,1.31,0.86,0.85,0.95,0.86,2.66,0.26,0.22,0.25,0.15,0.23,0.09,0.15,0.14,0.04,0.16
g_0,1.13,1.12,0.74,0.89,0.83,1.07,0.2,0.16,0.55,0.25,0.15,0.18,0.13,0.14,0.18,0.35
