,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.49,0.13,0.13,0.17,0.19,0.16,0.24,0.27,0.17,0.24,0.16,0.17,0.21,0.22,0.17,
f_1,0.31,1.52,0.19,0.17,0.17,0.11,0.15,0.21,0.13,0.18,0.18,,0.2,0.13,0.24,0.1
d_1,0.2,0.17,1.53,0.14,0.17,0.13,0.23,,0.16,0.34,0.2,0.19,0.22,0.14,0.18,0.14
c_1,0.17,0.17,0.19,1.53,0.24,0.17,0.24,0.18,0.21,,0.15,0.19,0.21,0.16,0.19,0.15
b_1,0.16,0.16,0.19,0.15,1.57,0.22,0.24,0.17,0.18,0.23,,0.21,0.2,0.14,0.23,
a_1,0.14,0.18,0.18,0.16,0.18,1.73,0.19,0.24,,0.24,0.2,0.24,0.26,,0.16,0.2
h_1,0.35,0.54,0.38,0.25,0.33,0.37,1.65,0.53,0.6,0.33,0.35,0.39,,0.39,0.81,0.41
d_0,0.47,0.44,,0.74,0.47,0.39,0.46,1.41,0.35,0.46,0.66,0.47,0.64,0.4,0.46,0.55
g_1,0.36,0.48,0.57,0.36,0.38,,0.37,0.63,1.76,0.52,0.47,0.67,0.4,0.32,,0.38
c_0,0.43,0.58,0.34,,0.38,0.39,0.61,0.77,0.41,1.44,0.8,0.57,0.68,0.36,0.56,0.39
b_0,0.53,0.48,0.4,0.58,,0.36,0.71,0.47,0.36,0.48,1.5,0.64,0.62,0.91,0.42,0.39
f_0,0.41,,0.56,0.53,0.43,0.34,0.62,0.64,0.53,0.53,0.4,1.49,0.75,0.48,0.58,
h_0,0.74,0.71,0.54,0.61,0.68,0.35,,0.69,0.84,0.59,0.8,0.46,,0.6,0.74,0.68
a_0,0.41,0.53,0.54,0.36,0.36,,0.57,0.7,0.69,0.63,0.44,0.64,0.73,1.63,,
g_0,0.53,0.5,0.89,0.67,0.52,0.51,0.51,0.88,,0.76,0.78,0.89,0.8,,,
e_0,,0.66,0.61,0.62,,0.42,0.5,0.58,0.47,0.73,0.81,,0.57,,,1.69
