,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8732.05,4465.2,3474.85,5400.14,9169.01,29018.42,3166731.69,10153379.74,8782533.16,11123724.06,36395115.3,26136578.11,144340513.69,95147567.01,107041012.88,336732501.83
e_1,2800.31,10297.27,3322.2,5751.03,7671.99,36778.35,3130374.0,18768269.89,8197447.09,12663387.13,33253702.21,68013632.87,161483790.14,99019187.23,150236008.2,389842834.45
d_1,2778.97,2590.26,16190.08,3106.67,8788.92,37950.1,3267972.16,4846488.7,9357268.64,27259084.75,43920545.67,68817148.13,190080728.31,186622491.76,203826168.35,398479158.26
c_1,2376.45,2449.28,3554.79,21594.03,17706.1,29403.22,3212178.44,11061908.8,7818956.96,4973055.71,30088105.23,59902376.05,176050924.93,131169470.21,132754599.75,325142972.28
b_1,1942.56,2760.61,4459.07,5100.01,47851.73,79680.15,3151548.84,8899979.23,8227187.26,10987174.68,14709560.61,56760733.99,117523338.51,95030620.64,92701438.76,399437243.12
a_1,2513.66,2501.67,4486.11,5118.22,8602.34,254930.67,3002145.3,8834975.19,9419110.04,13848515.07,37603054.42,86842101.09,186132319.8,178055793.74,96528415.65,497449100.99
h_1,4085.45,2679.32,5368.57,6086.81,9981.79,37257.34,9346703.7,12279858.28,16563124.7,16514689.16,44565238.34,67184739.25,137781257.1,210558041.8,182967677.7,651098670.4
d_0,3199.21,3176.8,2165.09,12055.39,11652.92,36186.54,3821277.38,22235862.5,9377096.72,12034170.37,37137079.97,84222944.01,203518457.64,207524064.25,145630922.28,538536111.71
g_1,2535.92,2734.0,7623.86,5865.2,11711.34,39109.42,3256951.11,10598687.21,32164996.62,14639934.91,55361544.53,140761919.6,188056920.68,191758216.64,199278146.7,369329487.88
c_0,3135.43,2612.96,5548.69,4267.14,9830.17,45203.87,4525624.5,10489309.63,16100166.09,32978249.26,92629245.46,89099606.33,218640572.14,201431687.05,258145463.01,583071109.92
b_0,3037.17,3581.38,5857.99,6410.42,5395.86,29030.93,4608974.4,13015931.66,13591698.25,15866242.72,91742656.76,89585650.7,182946326.69,229028045.47,433429419.38,500875326.12
f_0,1829.95,2543.17,6560.93,6437.3,13720.78,41156.76,3466763.03,11064997.83,13648710.41,17417217.72,50638779.96,178675127.53,245298091.56,412637236.28,206318618.14,568297912.35
h_0,3708.49,2826.08,4877.58,5951.15,11248.91,53712.97,2524657.54,11916658.67,13547683.68,16502465.11,48770966.75,82070983.33,144438719.94,209467067.49,183283684.05,627848872.79
e_0,2897.24,1644.92,5785.08,5995.16,14952.06,45049.45,4797111.56,14579277.72,14085941.82,18717947.58,51861138.2,88500243.23,225266044.02,518564433.53,153133121.31,804373410.66
a_0,3111.85,3131.67,5785.08,6927.74,12111.17,16893.54,4401019.78,11717924.15,11044658.93,19302883.44,48774165.69,83583563.05,207347154.16,170534612.37,473320556.77,490667780.5
g_0,2252.1,2393.81,8196.61,5986.04,12198.84,40901.4,4267125.56,9988773.61,10220337.27,15907587.98,48180903.87,143884963.85,193714122.55,197526762.34,209872184.99,408972787.2
