,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,5.87,1.19,1.45,1.08,1.16,1.05,5.4,4.8,11.83,2.47,8.23,7.0,9.15,7.99,7.24,10.76
e_1,0.97,5.98,1.39,1.56,1.38,1.4,4.43,4.31,5.82,11.86,6.2,6.94,10.12,7.96,2.34,9.0
f_1,1.2,2.27,6.08,1.32,1.21,0.97,3.57,3.84,5.63,5.26,6.45,2.61,9.66,5.01,4.51,5.86
c_1,1.38,1.2,1.22,7.09,2.31,1.22,4.83,4.01,1.88,5.85,3.89,6.0,8.53,4.44,4.29,9.45
b_1,1.39,1.09,1.29,1.18,7.94,2.6,5.11,4.34,5.24,5.06,2.68,5.83,6.65,4.07,7.9,9.06
a_1,1.45,1.36,1.42,1.25,0.93,10.9,4.55,5.36,5.51,7.33,5.91,7.64,11.94,3.57,7.75,9.96
h_1,1.5,1.24,2.11,1.64,1.63,1.66,15.61,7.55,6.72,7.45,7.38,7.36,6.15,6.47,9.06,15.37
g_1,2.65,1.18,0.84,1.88,1.51,1.47,5.02,19.03,7.09,5.26,6.75,11.38,10.67,8.3,9.93,6.85
c_0,1.9,1.68,1.57,0.91,1.4,1.59,4.99,6.31,14.57,8.16,14.67,8.21,13.52,10.12,8.5,11.39
d_0,0.6,1.67,1.64,3.23,1.39,1.43,5.75,6.56,5.42,15.65,6.16,7.75,10.97,7.63,9.04,11.51
b_0,1.93,1.71,1.77,1.31,0.66,1.29,6.25,5.9,8.36,7.62,17.34,6.98,12.97,18.76,7.4,13.31
f_0,1.89,1.18,0.83,1.65,1.58,2.09,6.97,7.59,8.46,7.62,7.62,18.05,13.87,7.77,18.95,10.54
h_0,1.96,1.49,2.41,1.74,1.67,1.19,3.01,7.41,7.8,7.13,5.41,6.04,5.11,9.32,5.54,14.09
a_0,1.78,1.64,1.63,1.77,1.39,0.69,6.87,6.41,8.63,8.46,7.99,8.38,13.92,21.88,7.71,11.02
e_0,1.84,0.8,1.72,1.94,1.54,1.66,7.51,5.81,7.48,7.54,7.69,7.75,14.81,8.71,24.29,11.91
g_0,2.79,1.25,1.56,1.5,1.39,1.42,5.51,3.97,7.83,6.46,6.87,11.78,10.98,9.33,8.0,8.23
