,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,92.51,8.18,18.02,15.39,33.84,84.39,1786.41,3085.62,6818.1,6144.25,8219.14,8037.33,18888.62,22381.9,55321.87,
f_1,19.17,99.75,17.63,15.77,26.64,110.79,1579.33,2513.24,4002.58,4920.67,8116.08,,20442.47,24608.02,38580.68,39336.1
d_1,9.97,10.25,137.84,14.79,23.75,90.22,1867.11,2603.54,,6900.68,5419.57,6885.92,20475.03,20235.22,35941.53,30798.67
c_1,8.9,8.78,14.74,140.86,45.68,72.2,1944.56,2968.71,3363.46,,5754.97,6684.08,22068.03,21215.25,31726.38,33419.8
b_1,7.68,10.43,13.24,8.84,217.89,109.47,1441.76,2950.88,2171.6,3912.51,,7966.34,13385.48,13553.21,25983.52,32056.28
a_1,5.46,5.17,8.24,9.77,13.21,561.49,1066.74,1470.82,1976.44,2636.26,3465.39,4846.61,12857.84,,,
h_1,4.71,7.24,7.46,7.43,11.21,29.21,3031.01,1878.86,1977.76,2084.75,3223.78,3046.57,,10774.63,17680.14,20442.13
g_1,3.57,4.74,8.78,6.03,9.31,40.07,758.66,4697.5,1102.3,1329.29,3142.6,3782.89,8781.72,8044.16,,13756.3
d_0,3.31,4.46,,12.53,15.78,40.65,742.72,1173.95,4048.68,2028.21,3203.7,2678.74,10320.69,11846.51,19870.38,17231.2
c_0,3.76,4.87,5.7,,10.54,31.52,814.95,1342.24,1676.44,5014.39,4702.18,1816.65,9373.36,6671.56,21584.07,18037.08
b_0,3.74,3.69,5.78,6.42,,26.06,827.88,1105.33,1091.95,1294.92,6966.24,3008.95,7671.18,14276.2,11856.5,13893.17
f_0,3.07,,6.3,6.54,7.1,27.2,577.29,963.3,1629.64,2211.72,2401.95,7446.36,7978.85,6887.05,10707.44,22747.38
h_0,3.47,4.84,5.34,4.82,10.66,21.37,,1129.17,965.41,1436.63,2274.75,2197.92,,6531.01,21302.89,12454.26
a_0,2.73,2.62,3.33,4.49,6.7,,365.49,754.35,988.79,1403.21,1218.3,1988.64,4580.3,18541.68,11994.06,
g_0,1.72,3.66,5.86,4.88,6.42,,449.05,,761.42,970.32,2299.39,2511.62,5117.99,4772.29,,12368.31
e_0,,1.96,2.98,3.71,5.95,,417.81,588.85,935.59,959.16,1727.07,1396.0,4176.81,,8744.1,28137.43
