,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,5.92,0.63,0.62,0.46,0.55,0.72,2.39,0.41,1.98,5.34,3.26,2.8,4.36,3.48,3.07,4.24
e_1,0.51,6.03,0.56,0.74,0.53,0.61,2.02,5.57,2.26,2.59,2.85,3.26,4.3,3.26,1.02,3.68
f_1,0.62,1.07,6.15,0.62,0.43,0.58,2.33,2.58,2.6,2.91,0.56,2.89,3.34,2.71,2.01,3.08
c_1,0.6,0.66,0.63,6.41,1.11,0.48,1.82,2.71,1.87,0.53,2.97,2.1,5.22,2.43,2.08,5.18
b_1,0.63,0.5,0.54,0.66,7.73,1.18,2.56,2.51,1.95,2.66,2.77,0.46,3.79,2.03,3.22,4.85
a_1,0.62,0.6,0.39,0.55,0.73,10.17,2.35,3.65,2.29,3.08,3.5,2.93,4.48,0.77,3.68,3.85
h_1,1.04,0.75,1.74,1.12,0.88,0.69,15.72,4.68,5.16,4.74,4.38,4.58,2.66,4.71,5.4,8.19
d_0,0.42,1.02,0.98,2.1,1.18,1.05,3.66,12.76,2.63,3.68,5.35,4.4,6.92,4.25,5.11,7.16
g_1,1.65,0.84,0.89,0.92,1.12,0.86,2.67,5.27,19.19,4.52,8.05,5.91,7.31,5.18,7.15,1.92
c_0,1.07,0.98,1.51,0.26,0.85,0.87,4.97,5.69,3.68,14.76,5.96,12.5,8.78,6.15,6.44,11.49
f_0,1.15,0.82,0.51,1.35,1.21,0.97,3.95,5.97,5.2,4.32,15.41,6.46,9.32,5.88,12.36,7.87
b_0,1.25,0.98,1.33,1.26,0.32,0.8,3.83,5.97,4.0,4.96,6.54,16.36,9.71,11.9,6.69,7.4
h_0,1.42,0.89,1.86,0.9,0.96,0.64,1.02,4.85,4.32,3.51,4.71,5.34,3.19,5.2,5.22,8.93
a_0,1.19,1.13,1.38,1.18,0.8,,4.63,6.02,2.03,5.4,7.28,5.08,8.07,21.78,8.01,7.89
e_0,1.44,0.21,1.37,1.16,1.03,0.97,4.54,6.48,3.62,4.71,6.29,5.58,9.03,5.65,22.02,8.63
g_0,1.64,0.79,1.16,0.88,0.97,0.92,3.62,3.95,2.2,4.92,9.76,6.61,8.65,6.31,5.21,4.25
