,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,98.26,30.57,45.04,63.62,67.97,255.34,6272.69,8442.77,17832.18,15638.26,17132.35,29972.97,47127.71,58095.0,39277.87,115619.35
f_1,48.3,107.97,38.46,54.24,66.75,231.26,4372.08,7525.69,11115.91,11481.45,15317.33,14088.48,35720.13,45727.85,52922.42,131814.66
d_1,25.43,34.77,133.69,38.1,61.79,191.42,5342.85,6723.46,6392.37,19580.25,15912.2,28586.71,35138.63,47421.51,77851.75,139155.55
c_1,24.32,25.89,44.55,148.1,115.05,171.21,4994.69,7552.61,8658.37,4912.42,9762.07,23401.89,36251.0,36581.21,62937.36,115957.92
b_1,25.91,29.97,35.63,29.82,201.79,286.2,4117.42,7987.59,8358.75,6815.73,5331.04,25667.48,23816.1,49239.97,51419.15,124745.02
a_1,14.66,17.57,22.89,27.04,35.83,535.79,2992.94,5086.28,5407.87,7592.76,9099.52,16575.26,17560.92,34134.46,37279.97,79293.53
h_1,7.7,15.38,13.97,13.92,20.1,59.06,3250.01,2991.33,3285.93,3812.09,4420.07,10251.88,10832.09,9319.79,24158.62,51477.4
g_1,8.03,7.03,16.9,14.37,15.61,47.91,1423.62,4674.65,2886.88,2977.74,3742.62,12966.77,10803.21,14611.89,18247.3,22194.65
d_0,6.85,8.73,7.44,20.78,18.37,59.98,1267.61,1969.58,4569.23,3112.7,3773.41,7880.11,10546.1,14898.14,18191.76,34120.47
c_0,6.91,9.2,9.56,8.75,18.02,57.24,1216.38,2043.98,2946.67,5281.5,6236.52,9322.26,10022.27,15207.62,19502.23,32972.49
b_0,7.32,8.28,9.52,12.58,11.45,41.52,1242.65,1954.44,2792.96,2662.3,6147.23,8748.01,17110.26,13829.19,18066.56,27379.59
f_0,4.75,3.22,8.62,10.26,10.96,57.64,833.34,1112.86,2626.38,2680.5,2452.63,10713.03,7558.67,11493.7,24071.7,22226.43
a_0,4.92,6.64,7.19,7.3,15.14,,891.85,1219.15,1699.47,2531.87,2392.95,6365.2,12277.05,9957.62,14920.92,25200.51
h_0,4.45,7.58,7.46,9.29,8.97,34.66,453.79,1143.41,1461.82,1836.38,2297.62,4476.56,6014.96,4427.28,12866.97,25653.39
e_0,3.11,5.52,5.79,7.94,9.16,39.16,800.44,1214.18,1616.88,1729.78,2145.56,4042.9,4651.82,6892.2,20503.35,17043.98
g_0,3.12,4.52,7.58,6.05,6.42,16.8,537.85,587.25,1194.31,1610.87,1868.71,5504.55,4194.11,6328.93,9168.74,10293.62
