,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.89,0.83,1.65,1.41,2.72,17.94,25.12,28.34,42.42,48.7,50.41,79.69,83.18,77.28,100.9
d_1,1.12,1.0,0.99,1.16,1.4,2.53,15.67,18.4,37.03,29.98,40.54,41.71,73.27,77.2,79.08,79.17
f_1,1.2,1.0,1.0,1.1,1.25,2.23,13.31,26.05,24.46,28.47,31.15,40.48,53.83,55.41,74.72,102.53
c_1,0.61,0.87,0.9,1.0,1.52,1.87,11.61,22.53,21.32,16.9,32.37,28.26,58.34,62.58,56.16,75.46
b_1,0.72,0.72,0.8,0.66,1.0,2.88,11.77,18.57,19.88,20.71,28.27,29.36,61.02,66.16,53.94,72.12
a_1,0.37,0.39,0.45,0.54,0.34,1.0,5.89,9.77,10.33,13.31,15.03,25.33,25.7,30.49,34.19,35.2
h_1,0.05,0.06,0.07,0.09,0.08,0.18,1.0,1.7,1.68,1.78,2.5,2.95,5.49,4.54,4.55,7.3
g_1,0.04,0.05,0.04,0.04,0.05,0.11,0.59,1.0,1.2,1.18,1.86,2.0,2.39,3.3,3.05,4.08
c_0,0.03,0.03,0.04,0.05,0.05,0.1,0.59,0.82,1.0,1.31,1.37,2.2,2.65,2.58,3.16,3.63
d_0,0.02,0.04,0.03,0.06,0.05,0.07,0.55,0.82,0.75,1.0,1.28,1.5,2.6,2.59,2.76,3.48
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.42,0.53,0.71,0.79,1.0,1.14,2.02,3.09,1.89,2.1
b_0,0.02,0.02,0.03,0.04,0.03,0.04,0.35,0.51,0.45,0.66,0.8,1.0,1.83,1.72,2.62,1.9
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.19,0.43,0.38,0.41,0.49,0.57,1.0,0.94,1.12,1.58
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.21,0.3,0.38,0.35,0.32,0.59,1.09,1.0,1.0,1.26
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.33,0.33,0.35,0.54,0.39,0.98,1.05,1.0,1.41
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.24,0.28,0.3,0.45,0.51,0.63,0.83,0.72,1.0
