,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.86,0.83,1.62,1.31,2.84,16.97,25.53,30.05,39.58,49.1,50.23,78.43,83.67,72.23,89.69
d_1,1.17,1.0,0.96,1.2,1.5,2.71,15.02,17.65,38.5,35.34,38.9,39.45,77.14,78.39,69.68,73.74
f_1,1.2,1.04,1.0,1.08,1.27,2.4,13.83,25.74,25.42,30.72,27.5,41.34,55.46,57.95,77.04,102.12
c_1,0.62,0.83,0.92,1.0,1.58,1.81,11.06,23.75,18.36,17.08,33.34,25.44,62.24,61.58,62.2,76.11
b_1,0.77,0.67,0.78,0.63,1.0,2.86,12.54,17.32,19.59,21.37,29.11,30.46,61.83,69.35,63.28,73.01
a_1,0.35,0.37,0.42,0.55,0.35,1.0,5.77,10.55,10.44,12.82,15.47,24.85,27.46,27.74,30.58,39.96
h_1,0.06,0.07,0.07,0.09,0.08,0.17,1.0,1.68,1.66,1.66,2.49,3.16,4.16,4.34,4.46,7.18
g_1,0.04,0.06,0.04,0.04,0.06,0.1,0.58,1.0,1.09,1.3,1.9,1.92,1.99,3.11,2.95,4.46
c_0,0.03,0.03,0.04,0.06,0.05,0.1,0.61,0.9,1.0,1.23,1.29,2.14,2.2,3.02,3.39,3.9
d_0,0.02,0.03,0.03,0.06,0.05,0.07,0.59,0.74,0.76,1.0,1.32,1.63,2.3,2.41,2.46,3.38
f_0,0.02,0.03,0.04,0.03,0.04,0.07,0.43,0.51,0.75,0.74,1.0,1.2,2.08,3.05,1.96,2.3
b_0,0.02,0.03,0.03,0.04,0.03,0.04,0.32,0.48,0.44,0.58,0.8,1.0,2.0,1.53,2.59,1.77
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.25,0.5,0.44,0.45,0.51,0.52,1.0,0.92,1.07,1.63
e_0,0.01,0.01,0.02,0.02,0.01,0.03,0.22,0.32,0.33,0.41,0.31,0.65,1.11,1.0,0.96,1.21
a_0,0.01,0.01,0.01,0.02,0.02,,0.22,0.34,0.31,0.41,0.53,0.38,1.06,1.18,1.0,1.38
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.23,0.26,0.31,0.43,0.54,0.6,0.9,0.73,1.0
