,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.91,0.79,1.11,0.91,0.67,0.52,0.57,0.46,0.42,0.41,0.42,0.34,0.33,0.34,0.34
d_1,1.11,1.0,1.07,0.9,0.85,0.63,0.48,0.48,0.38,0.53,0.44,0.41,0.34,0.33,0.31,0.27
f_1,1.23,0.93,1.0,0.97,0.88,0.7,0.41,0.45,0.46,0.39,0.39,0.37,0.33,0.34,0.28,0.32
c_1,0.92,1.1,1.07,1.0,1.24,0.78,0.54,0.36,0.48,0.4,0.33,0.41,0.34,0.33,0.34,0.34
b_1,1.1,1.18,1.15,0.81,1.0,1.26,0.6,0.45,0.52,0.55,0.44,0.41,0.41,0.3,0.36,0.38
a_1,1.49,1.56,1.46,1.25,0.81,1.0,0.75,0.65,0.68,0.62,0.66,0.54,0.5,0.5,0.43,0.49
h_1,1.96,2.04,2.44,1.84,1.69,1.29,1.0,0.8,1.0,0.82,0.74,0.7,0.66,0.66,0.59,0.66
d_0,1.79,2.11,2.06,2.84,2.2,1.68,1.28,1.0,1.09,0.77,0.87,0.79,0.8,0.75,0.68,0.73
g_1,2.14,2.54,2.1,2.09,1.88,1.52,1.01,0.89,1.0,0.95,0.85,1.03,0.65,0.67,0.76,0.74
c_0,2.38,1.9,2.47,2.52,1.82,1.56,1.22,1.35,1.04,1.0,1.23,0.91,0.89,0.86,0.72,0.68
b_0,2.56,2.2,2.57,2.95,2.23,1.56,1.32,1.18,1.24,0.84,1.0,1.04,0.97,1.18,0.76,0.73
f_0,2.48,2.53,2.64,2.53,2.34,1.9,1.38,1.34,0.97,1.12,0.97,1.0,0.84,0.96,1.24,0.75
h_0,2.92,2.97,2.95,2.94,2.42,1.92,1.51,1.23,1.5,1.13,1.03,1.15,1.0,0.87,0.8,1.02
a_0,3.01,3.09,2.86,3.19,3.07,1.93,1.5,1.36,1.58,1.11,0.87,1.09,1.15,1.0,0.94,0.9
e_0,3.01,3.17,3.63,2.91,2.72,2.15,1.87,1.46,1.37,1.29,1.42,0.87,1.16,1.07,1.0,0.96
g_0,3.02,3.64,3.03,3.04,2.58,2.07,1.49,1.38,1.37,1.53,1.34,1.4,0.95,1.14,1.04,1.01
