,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.12,3.87,4.26,4.33,4.23,4.23,1.01,1.53,1.04,0.97,1.9,0.87,0.47,0.82,0.93,1.05
d_1,5.28,1.11,5.56,4.61,4.63,3.72,1.33,0.86,1.59,0.86,0.82,0.76,0.57,0.42,0.79,0.7
e_1,2.45,4.7,1.12,5.17,5.07,5.27,1.51,1.43,1.09,1.04,1.2,1.16,0.73,0.71,1.02,2.34
c_1,4.81,6.28,4.31,1.12,4.61,4.15,1.06,1.24,0.58,1.76,1.02,0.77,0.8,0.69,0.94,0.94
b_1,6.55,5.66,5.23,2.76,1.13,6.64,1.75,1.96,1.17,1.37,1.06,2.49,0.78,0.92,1.15,1.07
a_1,9.35,10.85,7.16,11.79,4.19,1.14,2.85,2.2,1.93,1.46,1.54,1.92,1.28,1.26,3.63,1.62
h_1,14.2,15.67,14.45,14.39,12.93,16.82,1.73,4.71,2.75,2.91,2.85,2.82,3.72,1.93,2.41,2.34
g_1,22.81,16.25,17.98,20.99,19.57,15.72,4.4,1.78,3.79,3.31,3.08,4.25,2.07,3.73,3.79,3.15
d_0,18.13,34.94,10.96,20.72,21.27,19.77,5.64,7.21,2.29,3.77,4.24,3.56,3.16,3.06,3.56,4.12
c_0,26.99,11.42,20.8,45.18,22.23,19.57,6.65,5.54,6.46,2.24,3.92,4.35,3.16,3.13,4.05,4.49
f_0,41.12,18.59,21.72,23.92,20.1,18.27,6.4,4.25,6.4,3.57,2.22,4.35,2.81,1.9,3.83,3.98
b_0,27.63,17.83,19.84,29.84,45.86,20.4,6.98,6.07,5.15,2.64,4.44,2.38,3.37,3.08,4.56,3.84
h_0,31.02,24.96,25.96,27.11,32.61,27.4,17.51,8.05,6.86,5.16,5.79,5.01,7.07,4.91,5.24,5.01
g_0,36.08,30.65,35.6,34.98,30.26,34.25,6.81,14.42,6.86,6.24,6.66,6.32,3.96,8.11,6.14,5.49
a_0,31.29,30.65,32.27,39.19,47.34,76.72,10.46,12.14,6.4,5.7,7.07,3.49,5.05,4.14,2.46,6.29
e_0,59.93,32.06,53.95,33.19,32.98,31.97,8.25,8.76,7.49,5.82,3.87,6.1,5.97,4.78,11.12,2.51
