,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.53,1.32,0.85,0.91,0.76,0.74,0.89,0.86,0.88,1.04,0.96,0.71,0.83,0.94,0.59,1.05
e_1,0.85,1.54,0.74,1.05,0.96,0.74,1.13,0.91,0.99,1.67,1.09,1.08,0.97,1.16,0.82,1.06
d_1,1.03,0.89,1.56,0.8,0.81,0.77,1.03,0.93,1.54,0.82,1.19,1.09,1.01,1.15,0.88,0.94
c_1,0.84,0.89,0.94,1.56,1.43,0.68,0.91,0.77,0.67,0.84,0.73,0.87,0.91,1.02,0.77,1.01
b_1,1.02,0.79,0.99,0.79,1.59,1.22,0.97,0.99,1.18,1.02,0.89,0.94,0.82,1.34,0.99,1.12
a_1,1.06,0.95,1.06,1.06,0.74,1.74,1.25,1.05,1.24,1.16,1.17,1.11,0.86,1.28,1.03,1.25
h_1,1.47,1.07,1.33,1.11,0.98,0.81,1.83,1.54,1.32,1.21,1.31,1.11,1.04,1.21,1.09,1.57
g_1,1.23,1.01,1.61,1.24,0.99,0.9,1.09,1.93,1.14,1.04,1.23,1.73,1.11,1.27,1.28,1.1
c_0,1.35,1.16,1.21,1.14,0.84,0.93,1.47,1.43,1.8,1.45,2.19,1.32,1.44,1.45,1.31,1.41
d_0,1.12,1.04,0.95,1.81,1.25,0.9,1.47,1.39,0.95,1.74,1.24,1.19,1.14,1.4,1.0,1.41
b_0,1.36,1.21,1.29,1.37,0.8,0.78,1.35,1.43,1.19,1.35,1.82,1.46,2.2,1.6,1.2,1.3
f_0,1.23,1.1,1.28,1.4,1.17,0.92,1.4,1.35,1.52,1.43,1.31,1.78,1.27,1.71,2.06,1.22
a_0,1.43,1.2,1.4,1.3,1.32,0.75,1.75,1.45,1.29,1.35,1.25,1.39,1.83,1.78,1.3,1.47
h_0,1.63,1.22,1.42,1.19,0.95,1.09,1.14,1.78,1.36,1.34,1.37,1.22,1.1,1.25,1.25,1.7
e_0,1.59,0.81,1.49,1.34,1.09,1.12,1.63,1.38,1.32,1.5,1.32,1.18,1.27,1.45,1.94,1.56
g_0,1.14,1.05,1.86,1.18,1.22,1.02,1.44,1.35,1.5,1.17,1.43,1.88,1.28,1.32,1.37,1.23
