,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.71,0.6,0.54,0.48,0.65,0.53,1.09,1.75,1.01,0.52,1.16,1.03,1.05,1.1,1.14,1.28
f_1,0.55,2.84,1.15,0.54,0.45,0.56,0.94,0.79,0.72,1.04,0.96,0.33,0.91,0.85,0.79,0.76
e_1,0.61,0.65,2.89,0.71,0.63,0.6,0.79,0.79,0.69,1.64,0.94,0.96,0.97,0.89,0.84,0.34
c_1,0.65,0.55,0.55,3.43,1.16,0.49,0.61,0.31,0.77,0.87,0.56,0.84,0.92,0.76,0.87,1.04
b_1,0.68,0.58,0.54,0.51,3.66,1.22,0.88,0.88,0.78,0.76,0.48,1.1,0.94,0.75,0.95,0.93
a_1,0.64,0.8,0.55,0.67,0.47,5.0,0.86,0.87,0.94,0.79,1.18,1.02,1.03,0.4,1.07,0.67
h_1,0.72,0.99,0.71,0.92,0.52,0.58,2.98,1.06,1.75,0.92,1.0,1.2,0.71,1.29,1.45,1.09
c_0,0.8,0.74,0.7,0.6,0.62,0.71,1.24,2.26,1.31,1.08,2.27,1.15,1.2,1.61,1.38,1.33
g_1,1.15,0.69,0.59,0.79,0.6,0.6,1.03,1.01,3.55,0.75,0.96,1.76,1.14,0.99,0.93,1.26
d_0,0.38,0.79,0.76,1.59,0.79,0.62,1.04,0.82,1.03,2.29,1.17,1.08,1.18,0.92,0.91,0.89
b_0,0.72,0.92,0.7,0.9,0.42,0.74,1.16,1.08,1.2,1.02,2.57,1.34,1.24,2.45,1.2,1.24
f_0,0.91,0.49,0.55,0.93,0.78,0.64,1.06,1.23,1.42,1.13,1.08,2.8,1.23,1.63,1.25,2.71
h_0,0.86,1.12,0.74,0.82,0.72,0.56,0.74,1.05,1.38,1.12,1.04,1.14,0.71,1.21,1.54,1.21
a_0,0.93,0.81,0.74,0.82,0.64,0.33,1.55,1.12,1.11,1.05,1.14,1.13,1.47,3.46,1.46,1.35
g_0,1.32,0.64,0.62,0.83,0.63,0.61,1.08,1.19,0.97,0.97,1.11,1.97,1.1,1.22,0.81,1.43
e_0,0.75,1.01,0.37,0.76,0.78,0.78,1.47,1.21,1.56,1.29,1.07,1.17,1.2,1.24,1.02,3.4
