,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,5.88,0.6,0.47,0.71,0.55,0.59,2.4,5.69,1.75,2.5,2.98,3.67,3.87,1.41,2.61,3.49
f_1,1.42,6.15,0.55,0.38,0.41,0.53,1.94,2.16,1.98,3.48,0.62,2.26,4.31,1.96,3.58,3.35
d_1,0.46,0.72,6.47,0.52,0.61,0.54,2.21,0.63,2.45,5.72,3.08,2.81,3.92,2.95,2.36,4.27
c_1,0.42,0.52,0.6,6.44,1.28,0.59,2.28,2.83,1.75,0.49,3.12,2.17,4.98,2.75,2.58,4.73
b_1,0.56,0.55,0.63,0.61,7.37,1.09,2.16,2.73,1.74,2.32,3.16,0.98,4.28,3.19,2.31,4.54
a_1,0.53,0.71,0.67,0.59,0.47,10.37,1.83,3.15,2.16,1.96,2.5,2.87,5.36,3.46,0.7,3.85
h_1,0.69,1.38,1.07,1.22,0.96,0.87,15.13,4.63,5.0,4.43,4.36,4.9,3.1,5.38,5.73,10.44
d_0,1.01,0.84,0.4,2.16,1.01,0.85,4.16,12.12,4.08,4.1,5.84,6.59,6.11,5.97,6.73,7.09
g_1,0.87,0.93,1.53,1.14,0.96,0.92,3.32,3.29,18.04,4.23,8.4,4.55,7.02,5.92,6.05,2.79
c_0,1.25,1.22,1.34,0.42,0.75,0.96,4.35,5.13,3.63,14.48,5.92,9.88,7.56,4.77,5.96,9.69
f_0,0.89,0.34,1.19,1.26,1.16,1.29,3.92,5.73,4.81,4.19,15.94,6.25,8.21,10.97,7.3,7.84
b_0,0.88,1.6,1.06,1.13,0.33,0.6,4.27,5.92,4.42,5.17,5.03,17.38,7.6,6.37,12.73,8.8
h_0,0.9,1.5,1.1,1.09,0.94,1.0,2.11,5.43,5.07,5.23,5.73,5.13,2.44,5.32,4.92,8.88
e_0,0.45,1.36,1.07,1.25,1.12,1.05,4.62,5.71,4.93,5.15,4.61,5.31,11.97,23.09,7.7,10.9
a_0,1.22,1.05,1.08,1.22,1.02,0.35,5.04,5.04,4.97,5.87,5.31,5.47,7.15,3.76,21.39,8.15
g_0,0.72,0.87,1.86,0.91,1.0,0.86,3.69,4.46,2.32,5.63,7.95,5.13,7.81,5.8,6.74,3.64
