,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,8557.32,102.36,241.46,180.09,545.78,1810.84,163795.75,323997.61,1024484.19,933290.59,1440791.93,1262821.09,4835873.8,5533205.9,17077413.84,
f_1,239.99,9949.69,237.04,185.64,444.15,2652.59,168842.43,274340.91,534708.54,761619.77,1404903.69,,6432091.61,6246896.89,14497068.19,10927958.93
d_1,133.53,137.75,18999.46,218.32,421.25,2459.88,220420.52,393681.94,,1368644.38,959362.1,1433722.51,6771403.73,5254969.23,16499277.86,9327925.57
c_1,104.08,103.32,217.7,19841.08,917.8,1917.33,233737.26,397102.08,690575.34,,1105938.99,1397972.13,7199432.35,6547827.28,12481962.22,11761203.08
b_1,123.92,173.92,234.9,177.62,47473.87,4162.76,183265.16,489099.78,401969.67,794449.11,,1894028.48,5055144.03,4083594.92,10615168.14,14003087.38
a_1,117.08,123.87,224.71,259.34,502.29,315270.89,188299.11,357063.94,560232.66,759976.58,1041391.08,1759828.65,6739125.1,,,
h_1,431.5,773.66,881.21,893.1,1424.52,5156.07,9187014.41,2243171.91,2397023.82,2717363.07,5266609.57,4040295.57,,21381608.22,49816841.9,59742092.25
g_1,375.2,517.53,1327.95,806.19,1543.07,9727.54,905761.98,22066551.56,1253929.19,1775607.26,5857063.27,7221317.02,27653464.26,19815631.28,,39152106.37
d_0,497.58,595.65,,2573.3,2920.5,11523.14,900168.56,1335439.72,16391821.72,3739942.39,5992096.43,5596820.24,32577524.49,40544951.6,77289844.83,69185474.84
c_0,570.39,753.56,1130.59,,2139.81,9087.57,1062248.54,1792907.31,3091283.77,25144100.19,11602999.22,3641431.17,34396614.88,20412754.09,98777456.82,75022999.28
b_0,655.39,639.08,1023.5,1233.16,,7831.3,1352486.86,2060073.04,2042356.24,3195305.49,48528450.6,8089163.67,32044980.62,59538374.05,61907203.23,68054501.85
f_0,482.59,,1310.83,1368.77,1687.04,9877.79,765584.53,1838879.3,3404892.27,4433341.65,6457321.3,55448265.88,33413084.57,25487496.75,55527072.79,128185750.1
h_0,888.43,1523.78,1766.6,1573.4,4024.06,11197.95,,3555747.64,3047331.87,5271875.46,9502361.45,9204249.39,,35720459.22,222437243.0,89825491.78
a_0,675.06,664.79,865.52,1385.79,2018.18,,725290.61,1858235.92,3384142.23,4293341.39,5080892.29,7359524.04,25051304.15,343793753.17,90742926.84,
g_0,531.71,1375.18,2691.59,1919.4,2624.15,,1265277.43,,2961709.0,4440581.73,12005977.64,13024839.62,53440282.06,36105470.16,,128624366.87
e_0,,545.07,902.04,1304.19,2600.27,,1221058.88,1675940.62,3756496.73,3989497.32,8459908.29,7866720.5,30124986.0,,90934367.62,791715062.33
