,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.86,0.53,0.53,0.42,0.31,0.31,0.32,0.32,0.27,0.28,0.23,0.27,0.22,0.23,0.14
e_1,0.51,0.95,0.49,0.61,0.51,0.4,0.38,0.31,0.56,0.33,0.35,0.33,0.3,0.22,0.28,0.19
d_1,0.64,0.54,0.95,0.5,0.48,0.35,0.41,0.31,0.29,0.49,0.39,0.29,0.34,0.28,0.25,0.24
c_1,0.65,0.55,0.52,0.95,0.75,0.42,0.38,0.31,0.29,0.26,0.24,0.31,0.33,0.27,0.25,0.21
b_1,0.69,0.58,0.55,0.48,0.95,0.67,0.42,0.33,0.38,0.35,0.27,0.3,0.39,0.21,0.32,0.24
a_1,0.82,0.63,0.71,0.58,0.49,0.94,0.46,0.4,0.39,0.47,0.43,0.35,0.45,0.23,0.3,0.23
h_1,1.17,0.84,0.86,0.78,0.62,0.45,0.78,0.62,0.54,0.47,0.48,0.39,0.39,0.36,0.49,0.34
g_1,0.91,0.84,1.14,0.81,0.71,0.55,0.55,0.78,0.52,0.5,0.51,0.57,0.44,0.41,0.37,0.34
d_0,0.96,0.76,0.66,1.39,0.73,0.59,0.59,0.44,0.7,0.38,0.55,0.44,0.52,0.4,0.4,0.41
c_0,1.15,0.87,0.9,0.81,0.56,0.52,0.68,0.59,0.6,0.71,0.89,0.45,0.6,0.49,0.5,0.44
b_0,1.12,0.89,0.95,1.0,0.58,0.49,0.68,0.59,0.57,0.49,0.72,0.46,0.56,0.71,0.43,0.42
f_0,0.93,0.81,1.08,0.93,0.82,0.63,0.71,0.54,0.65,0.62,0.62,0.71,0.56,0.47,0.48,0.71
h_0,1.35,1.03,1.0,0.91,0.76,0.59,0.57,0.69,0.55,0.53,0.57,0.48,0.49,0.46,0.59,0.35
a_0,1.3,0.97,1.04,0.99,0.89,0.48,0.76,0.58,0.63,0.56,0.52,0.54,0.62,0.67,0.53,0.48
g_0,1.07,0.91,1.4,1.02,0.81,0.66,0.58,0.5,0.63,0.61,0.65,0.79,0.58,0.48,0.48,0.49
e_0,1.51,1.02,1.0,1.13,0.82,0.67,0.73,0.66,0.66,0.58,0.62,0.44,0.73,0.56,0.54,0.65
