,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.88,0.37,0.14,0.15,0.15,0.09,0.17,0.17,0.16,0.14,0.18,0.06,0.1,0.12,0.06,0.1
e_1,0.21,0.89,0.15,0.19,0.14,0.11,0.17,0.17,0.34,0.14,0.18,0.16,0.12,0.17,0.04,0.12
d_1,0.22,0.16,0.89,0.12,0.15,0.1,0.17,0.38,0.06,0.13,0.21,0.16,0.16,0.17,0.12,0.16
c_1,0.17,0.17,0.16,0.89,0.31,0.09,0.15,0.06,0.17,0.12,0.12,0.17,0.1,0.11,0.1,0.09
b_1,0.19,0.17,0.2,0.16,0.88,0.22,0.13,0.15,0.18,0.13,0.06,0.12,0.08,0.16,0.11,0.14
a_1,0.23,0.13,0.2,0.19,0.13,0.88,0.19,0.17,0.17,0.14,0.17,0.13,0.05,0.19,0.12,0.15
h_1,0.32,0.23,0.21,0.21,0.15,0.12,0.56,0.22,0.21,0.2,0.23,0.18,0.15,0.1,0.13,0.22
c_0,0.25,0.24,0.28,0.13,0.15,0.14,0.21,0.43,0.18,0.19,0.39,0.16,0.18,0.19,0.14,0.18
d_0,0.22,0.23,0.12,0.42,0.19,0.12,0.19,0.15,0.42,0.16,0.19,0.18,0.12,0.19,0.13,0.14
g_1,0.18,0.17,0.34,0.22,0.17,0.12,0.19,0.2,0.18,0.55,0.18,0.28,0.15,0.21,0.13,0.1
b_0,0.22,0.25,0.24,0.21,0.08,0.13,0.22,0.23,0.2,0.19,0.43,0.2,0.3,0.2,0.12,0.18
f_0,0.14,0.19,0.22,0.25,0.22,0.15,0.24,0.21,0.19,0.16,0.17,0.44,0.12,0.19,0.3,0.17
a_0,0.29,0.23,0.27,0.19,0.17,0.09,0.25,0.23,0.25,0.16,0.2,0.15,0.38,0.23,0.12,0.17
h_0,0.31,0.24,0.22,0.2,0.17,0.17,0.1,0.24,0.24,0.21,0.22,0.16,0.13,0.11,0.15,0.2
e_0,0.27,0.1,0.2,0.24,0.22,0.16,0.24,0.27,0.2,0.2,0.25,0.17,0.16,0.26,0.41,0.22
g_0,0.2,0.21,0.35,0.22,0.15,0.14,0.21,0.25,0.19,0.09,0.19,0.28,0.12,0.17,0.14,0.09
