,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.5,0.5,0.39,0.39,0.44,0.45,0.5,0.42,0.32,0.9,0.58,0.55,0.65,0.52,0.5,0.45
f_1,0.43,1.51,0.75,0.48,0.39,0.32,0.48,0.52,0.53,0.53,0.48,0.27,0.54,0.43,0.64,0.28
e_1,0.51,0.42,1.51,0.47,0.45,0.4,0.57,0.46,0.86,0.59,0.59,0.53,0.52,0.46,0.48,0.2
c_1,0.49,0.43,0.46,1.58,0.69,0.37,0.63,0.55,0.53,0.21,0.4,0.59,0.64,0.41,0.52,0.5
b_1,0.55,0.49,0.49,0.41,1.61,0.61,0.48,0.49,0.55,0.51,0.28,0.6,0.56,0.53,0.61,0.47
a_1,0.51,0.55,0.5,0.47,0.38,1.75,0.68,0.72,0.62,0.6,0.66,0.6,0.57,0.26,0.63,0.49
h_1,0.79,1.02,0.65,0.67,0.7,0.5,1.68,1.15,0.79,0.74,0.75,0.7,0.65,0.81,0.98,0.71
g_1,1.16,0.66,0.71,0.8,0.69,0.39,0.64,1.74,0.84,0.92,0.87,1.0,0.87,0.77,0.29,0.73
d_0,0.49,0.85,0.68,1.17,0.68,0.54,0.96,0.76,1.51,0.75,0.99,0.76,1.02,0.63,0.84,0.94
c_0,0.66,0.9,0.74,0.65,0.75,0.69,1.01,0.78,1.07,1.48,1.52,0.88,1.19,0.9,0.76,0.93
b_0,0.87,1.01,0.7,0.92,0.41,0.52,0.99,0.85,0.9,0.83,1.57,0.76,1.11,1.24,0.97,0.6
f_0,0.92,0.57,0.73,0.68,0.72,0.62,1.07,0.76,1.07,1.04,1.01,1.6,0.9,0.97,0.88,1.69
h_0,0.83,1.24,0.79,0.62,0.76,0.62,0.55,0.93,0.87,0.93,0.89,0.89,0.62,0.79,1.11,0.6
a_0,0.72,1.01,0.94,0.89,0.56,,0.83,0.83,1.29,1.09,0.93,0.9,1.14,1.62,1.06,0.69
g_0,1.19,0.68,0.89,0.84,0.63,0.51,0.82,,0.88,0.99,0.98,1.25,0.89,0.82,0.62,0.88
e_0,1.03,1.12,0.65,0.85,0.84,0.53,1.01,0.83,0.86,0.91,1.35,0.72,1.47,0.75,1.02,1.72
