,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.45,1.79,1.87,1.97,1.69,1.66,0.43,0.63,0.36,0.37,0.42,0.99,0.21,0.33,0.38,0.44
e_1,1.04,0.44,2.37,2.17,2.38,2.74,0.65,0.7,0.43,0.45,0.35,0.55,0.27,1.18,0.54,0.32
d_1,2.2,2.2,0.43,2.15,1.67,1.89,0.57,0.35,0.41,0.87,0.41,0.35,0.27,0.36,0.32,0.19
c_1,2.21,1.74,2.66,0.4,2.66,1.96,0.58,0.7,1.02,0.24,0.42,0.41,0.29,0.52,0.44,0.3
b_1,2.53,2.88,1.84,1.19,0.39,2.39,0.66,0.69,0.54,0.54,0.92,0.44,0.48,0.49,0.48,0.36
a_1,3.49,2.95,2.79,2.87,1.61,0.31,0.84,1.01,0.64,0.7,0.78,0.7,0.54,0.54,1.91,0.42
h_1,3.37,3.2,3.34,3.31,3.27,2.57,0.33,0.99,0.74,0.63,0.63,0.75,0.82,0.59,0.61,0.54
g_1,3.75,3.5,3.71,3.61,4.05,4.15,0.9,0.31,0.68,0.81,0.69,0.73,0.39,0.74,0.71,0.73
c_0,4.11,4.58,1.83,8.63,3.85,2.97,1.24,1.42,0.39,1.3,0.9,0.74,0.53,0.77,0.73,0.46
d_0,3.97,2.0,8.01,3.98,4.33,4.29,1.31,1.52,0.76,0.4,0.73,0.71,0.53,1.02,1.05,0.63
b_0,3.96,3.18,3.52,5.38,8.37,3.72,1.21,1.13,0.42,0.86,0.39,0.72,0.6,0.8,0.7,0.54
f_0,9.25,3.21,3.49,4.77,3.67,4.22,1.05,0.61,0.76,0.95,0.72,0.37,0.56,1.29,0.74,0.33
h_0,4.59,4.49,4.43,5.08,4.66,4.85,2.23,1.38,0.9,0.92,0.79,0.8,1.24,0.75,0.87,0.6
e_0,8.14,6.49,3.76,5.87,5.33,3.43,1.72,1.45,0.83,0.95,0.98,0.46,0.73,0.31,0.79,0.55
a_0,5.21,5.0,4.58,6.42,6.27,8.02,1.17,1.37,0.74,1.08,0.45,0.78,0.69,0.83,0.33,0.61
g_0,6.28,4.95,4.56,5.64,6.23,5.32,0.95,2.12,0.91,1.05,1.08,0.99,0.66,0.98,0.73,1.3
