,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.61,2.37,1.21,1.23,1.12,1.05,4.83,5.74,5.87,4.2,5.35,2.6,7.23,4.27,5.67,8.93
e_1,1.31,5.73,1.72,1.26,0.86,1.23,4.75,11.05,5.33,4.3,7.79,6.45,10.42,3.43,7.62,9.28
c_1,1.38,0.99,6.61,1.1,2.63,1.22,4.62,5.54,2.19,4.23,3.95,6.45,9.18,7.88,5.42,7.85
d_1,1.66,1.35,0.98,6.86,1.2,0.93,4.41,2.37,10.95,4.56,6.52,6.7,11.1,6.76,7.21,10.53
b_1,1.23,1.06,1.32,1.3,7.44,2.91,4.2,5.21,5.29,3.95,1.94,6.06,8.83,7.22,4.18,8.26
a_1,1.27,1.02,1.2,1.41,1.42,10.37,5.82,6.26,6.83,7.14,6.94,7.21,7.87,6.78,2.18,9.49
h_1,2.17,1.46,1.29,1.9,1.49,1.33,16.6,6.21,6.97,7.7,7.21,7.72,5.61,9.4,8.13,15.69
d_0,1.47,1.57,3.01,0.75,1.85,1.33,5.3,14.32,6.69,5.78,8.02,8.4,11.65,10.13,7.31,12.54
c_0,1.66,1.58,0.97,1.93,1.36,1.52,7.11,6.79,16.2,6.09,15.78,9.07,12.9,7.54,9.59,14.06
g_1,1.35,1.32,1.81,2.45,1.43,1.59,4.88,6.31,6.95,20.98,6.63,12.02,10.9,8.89,7.7,3.85
b_0,1.91,1.67,1.76,1.47,0.66,0.88,7.05,7.07,8.62,7.12,19.51,7.47,13.44,9.02,20.2,12.19
f_0,0.99,1.31,1.92,1.99,1.56,1.67,6.41,7.36,6.52,6.69,8.5,19.92,11.62,20.56,9.65,12.54
h_0,2.34,1.44,1.75,1.69,1.27,1.56,3.33,8.26,8.96,7.81,8.93,7.08,7.41,6.88,7.58,15.71
e_0,1.63,0.71,1.8,2.23,1.84,1.31,6.85,7.84,8.1,5.74,6.61,9.05,10.81,25.15,10.61,15.43
a_0,1.93,1.57,1.55,2.09,1.68,,5.57,9.32,8.81,4.53,8.18,7.72,14.0,10.2,26.47,13.05
g_0,1.35,1.36,1.58,2.9,1.44,1.52,5.52,6.01,8.68,4.71,8.55,12.24,8.85,8.5,9.0,7.15
