,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.68,0.38,0.35,0.3,0.23,0.26,0.22,0.25,0.23,0.23,0.14,0.22,0.19,0.14,0.2
e_1,0.42,0.94,0.35,0.47,0.39,0.24,0.28,0.23,0.45,0.27,0.26,0.28,0.27,0.19,0.13,0.22
d_1,0.5,0.44,0.94,0.35,0.36,0.25,0.35,0.24,0.18,0.4,0.26,0.25,0.27,0.21,0.2,0.19
c_1,0.49,0.38,0.48,0.94,0.63,0.22,0.33,0.26,0.21,0.11,0.22,0.23,0.26,0.19,0.18,0.18
b_1,0.51,0.46,0.44,0.36,0.94,0.55,0.28,0.28,0.24,0.26,0.15,0.22,0.23,0.13,0.19,0.19
a_1,0.56,0.58,0.54,0.51,0.33,0.93,0.37,0.23,0.32,0.35,0.28,0.22,0.33,0.11,0.25,0.29
h_1,1.0,0.56,0.64,0.54,0.57,0.39,0.75,0.51,0.33,0.38,0.4,0.3,0.24,0.27,0.26,0.41
g_1,0.69,0.72,0.97,0.64,0.5,0.51,0.4,0.75,0.32,0.38,0.33,0.49,0.34,0.25,0.33,0.25
d_0,0.79,0.65,0.5,1.2,0.61,0.41,0.53,0.43,0.65,0.31,0.42,0.36,0.41,0.33,0.25,0.37
c_0,0.86,0.71,0.69,0.57,0.54,0.46,0.58,0.44,0.56,0.64,0.71,0.47,0.42,0.39,0.32,0.4
b_0,0.95,0.75,0.8,0.72,0.33,0.41,0.53,0.53,0.45,0.42,0.63,0.43,0.44,0.57,0.28,0.36
f_0,0.58,0.63,0.81,0.8,0.65,0.58,0.66,0.48,0.53,0.46,0.47,0.66,0.48,0.39,0.57,0.35
h_0,1.1,0.73,0.79,0.83,0.64,0.46,0.45,0.65,0.47,0.46,0.42,0.4,0.37,0.35,0.34,0.45
a_0,0.97,0.84,0.82,0.8,0.79,0.38,0.54,0.62,0.49,0.43,0.38,0.41,0.51,0.63,0.31,0.35
e_0,1.14,0.62,0.76,0.81,0.6,0.57,0.63,0.59,0.57,0.59,0.56,0.45,0.56,0.35,0.62,0.43
g_0,0.8,0.67,1.22,0.86,0.73,0.45,0.49,0.51,0.46,0.47,0.48,0.62,0.49,0.36,0.32,0.35
