,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.25,0.9,0.68,1.04,0.69,0.66,1.56,3.0,1.38,1.41,1.6,1.59,2.14,1.06,1.3,1.92
f_1,1.42,2.33,0.7,0.79,0.79,0.53,1.3,1.69,1.15,1.57,1.74,0.86,2.01,0.93,1.44,1.47
d_1,0.86,0.9,2.47,0.64,0.66,0.52,1.61,1.12,1.46,3.12,2.05,1.77,2.3,1.68,1.61,1.86
c_1,0.72,0.87,0.81,2.48,1.45,0.63,1.46,1.36,1.29,0.82,1.16,1.5,1.92,1.16,1.14,1.72
b_1,0.85,0.81,0.79,0.79,2.58,1.3,1.49,1.72,1.33,1.4,1.0,1.68,2.36,1.2,0.94,1.79
a_1,0.81,0.98,0.92,0.85,0.72,3.17,1.66,1.72,1.39,1.86,1.59,1.77,2.03,1.3,0.77,2.04
h_1,0.94,1.23,0.9,0.89,0.83,0.61,3.34,1.71,1.9,1.72,1.73,1.39,1.65,1.56,1.26,2.53
d_0,0.88,0.96,0.62,1.58,0.84,0.65,1.64,2.97,1.35,1.34,1.51,1.91,2.22,1.4,1.5,2.0
g_1,0.88,0.8,1.46,0.74,0.77,0.64,1.43,1.54,3.58,1.94,1.92,2.76,2.37,1.64,1.65,1.65
c_0,1.09,1.08,1.05,0.67,0.67,0.58,1.83,1.73,1.69,3.14,3.35,1.98,2.46,1.81,2.09,1.97
b_0,1.2,1.06,1.08,0.85,0.45,0.55,1.75,2.01,1.55,2.11,3.3,1.84,2.64,1.81,3.54,1.87
f_0,0.88,0.87,1.1,0.81,0.9,0.69,2.15,1.95,1.69,1.93,1.85,3.23,2.4,3.36,1.19,2.26
h_0,0.95,1.3,1.03,0.87,0.74,0.6,1.21,1.82,2.0,1.78,1.8,1.91,1.58,1.56,1.66,2.81
e_0,0.71,1.32,0.9,0.91,0.74,0.65,2.01,1.99,1.45,2.09,1.74,2.05,2.52,3.81,1.53,2.22
a_0,0.98,1.16,1.08,0.86,0.69,0.3,1.76,1.99,1.82,2.04,1.99,1.93,2.34,1.92,3.46,2.05
g_0,0.85,0.88,1.39,0.98,0.92,0.67,1.63,1.34,1.22,1.93,1.67,2.75,1.95,1.55,1.33,1.73
