,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.8,1.22,0.89,1.06,0.97,1.05,1.35,1.08,0.97,1.12,0.99,1.09,1.04,1.07,1.15
f_1,1.27,1.0,1.01,0.87,0.93,1.0,0.87,0.99,0.97,0.94,0.85,0.92,0.82,0.96,1.07,0.8
c_1,0.82,1.0,1.0,1.15,1.36,0.96,0.94,0.7,0.93,0.83,0.91,0.85,1.12,0.94,1.14,0.91
d_1,1.1,1.16,0.86,1.0,0.95,0.87,0.97,0.96,0.83,1.28,1.02,1.13,1.01,1.02,0.91,0.96
b_1,0.96,1.05,0.73,1.08,1.0,1.42,1.09,0.96,1.14,1.08,1.03,1.05,1.01,0.96,0.89,0.98
a_1,1.03,0.99,1.03,1.15,0.73,1.0,1.08,1.09,1.12,1.09,1.19,1.37,1.09,0.99,1.1,1.31
h_1,0.94,1.18,1.05,0.98,0.93,0.9,1.0,0.89,1.12,0.88,0.91,0.87,1.01,0.9,1.04,0.93
d_0,0.72,0.99,1.44,1.03,1.06,0.93,1.12,1.0,1.04,0.74,0.93,0.85,1.07,1.01,1.0,1.06
g_1,0.92,1.03,1.07,1.22,0.92,0.88,0.89,1.01,1.0,0.94,1.15,0.97,0.83,0.91,0.94,0.98
c_0,1.09,1.06,1.16,0.81,0.88,0.86,1.11,1.36,1.06,1.0,1.05,1.37,0.98,1.16,0.96,1.06
f_0,0.9,1.14,1.14,1.01,0.95,0.81,1.09,1.01,0.82,0.93,1.0,1.03,1.12,0.95,0.81,1.51
b_0,0.97,1.09,1.21,0.87,0.98,0.77,1.14,1.15,1.05,0.73,0.97,1.0,0.98,1.44,0.89,1.07
h_0,0.95,1.19,0.88,1.02,0.97,0.91,1.0,0.97,1.21,0.99,0.89,1.01,1.0,0.99,1.12,0.95
a_0,0.95,1.02,1.08,0.92,1.04,1.04,1.14,1.01,1.05,0.85,0.99,0.72,1.01,1.0,0.99,0.96
g_0,0.94,0.95,0.9,1.1,1.06,0.89,0.96,0.96,1.08,1.03,1.17,1.04,0.85,0.96,1.0,1.06
e_0,0.94,1.15,1.15,1.06,0.99,0.77,1.04,0.96,1.02,1.0,0.68,0.96,1.02,1.01,0.9,1.01
