,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.91,0.56,0.31,0.3,0.23,0.14,0.27,0.27,0.21,0.26,0.14,0.23,0.16,0.28,0.12,0.21
e_1,0.35,0.9,0.24,0.38,0.26,0.17,0.3,0.51,0.22,0.26,0.25,0.24,0.2,0.26,0.12,0.21
d_1,0.38,0.36,0.91,0.21,0.21,0.2,0.33,0.19,0.22,0.52,0.27,0.3,0.19,0.27,0.2,0.24
c_1,0.31,0.27,0.3,0.9,0.49,0.18,0.27,0.3,0.22,0.14,0.26,0.17,0.17,0.24,0.2,0.22
b_1,0.34,0.3,0.3,0.27,0.9,0.37,0.27,0.26,0.2,0.22,0.27,0.14,0.15,0.27,0.19,0.22
a_1,0.38,0.37,0.32,0.29,0.25,0.88,0.32,0.3,0.23,0.28,0.26,0.28,0.14,0.27,0.17,0.2
h_1,0.47,0.35,0.37,0.33,0.27,0.16,0.63,0.27,0.33,0.3,0.27,0.25,0.2,0.23,0.19,0.34
d_0,0.39,0.3,0.25,0.62,0.32,0.15,0.34,0.48,0.23,0.2,0.22,0.27,0.2,0.3,0.21,0.26
g_1,0.32,0.32,0.57,0.32,0.24,0.17,0.31,0.27,0.6,0.3,0.37,0.28,0.23,0.28,0.22,0.19
c_0,0.45,0.36,0.39,0.22,0.23,0.17,0.38,0.27,0.29,0.5,0.3,0.52,0.31,0.31,0.23,0.28
f_0,0.26,0.32,0.39,0.39,0.32,0.2,0.36,0.31,0.29,0.32,0.49,0.33,0.28,0.3,0.46,0.25
b_0,0.41,0.37,0.41,0.33,0.22,0.14,0.35,0.28,0.25,0.32,0.27,0.51,0.48,0.3,0.21,0.24
a_0,0.4,0.37,0.4,0.31,0.29,0.11,0.39,0.31,0.26,0.35,0.3,0.3,0.43,0.31,0.23,0.29
h_0,0.52,0.33,0.4,0.37,0.26,0.19,0.23,0.28,0.31,0.27,0.25,0.26,0.19,0.21,0.2,0.31
e_0,0.35,0.23,0.37,0.41,0.37,0.2,0.34,0.28,0.29,0.31,0.28,0.28,0.25,0.35,0.44,0.28
g_0,0.32,0.31,0.53,0.34,0.25,0.18,0.36,0.27,0.18,0.31,0.49,0.27,0.21,0.28,0.28,0.2
