,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.21,0.03,0.02,0.02,0.03,0.02,0.06,0.04,0.13,0.07,0.07,0.06,0.07,0.05,,0.05
f_1,0.05,2.21,0.03,0.03,0.03,0.01,0.04,0.04,0.06,0.07,0.06,,0.08,0.06,0.05,0.08
d_1,0.03,0.03,2.34,0.02,0.02,0.02,0.08,0.05,,0.12,0.05,0.05,0.1,0.05,0.04,0.05
c_1,0.03,0.03,0.03,2.39,0.05,0.02,0.04,0.06,0.08,,0.06,0.06,0.08,0.04,0.05,0.07
b_1,0.03,0.03,0.03,0.03,2.5,0.03,0.05,0.06,0.07,0.06,,0.05,0.08,0.05,0.05,0.06
a_1,0.03,0.03,0.03,0.02,0.03,3.02,0.05,0.06,0.07,0.07,0.04,0.1,0.07,,,0.05
h_1,0.1,0.18,0.12,0.14,0.1,0.06,2.71,0.23,0.18,0.2,0.21,0.15,,0.14,0.25,0.37
g_1,0.09,0.11,0.17,0.09,0.1,0.11,0.11,2.93,0.21,0.3,0.26,0.34,0.31,,,
d_0,0.16,0.18,,0.24,0.14,0.1,0.28,0.16,2.04,0.24,0.29,0.31,0.38,0.22,0.24,0.41
c_0,0.17,0.15,0.15,,0.11,0.11,0.33,0.33,0.34,1.98,0.55,0.36,0.33,0.22,0.17,0.29
b_0,0.16,0.14,0.13,0.12,,0.08,0.3,0.29,0.23,0.27,2.24,0.28,0.42,0.53,0.28,0.41
f_0,0.13,,0.16,0.14,0.13,0.11,0.32,0.25,0.4,0.3,0.46,2.16,0.43,,0.53,0.28
h_0,0.2,0.35,0.21,0.22,0.2,0.2,,0.45,0.6,0.49,0.31,0.48,,0.27,0.22,0.59
a_0,0.18,0.14,0.13,0.21,0.1,,0.3,,0.23,0.32,0.27,,0.62,2.72,,0.43
e_0,,0.1,0.18,0.15,0.1,,0.46,,0.21,0.42,0.21,0.35,0.46,,2.88,
g_0,0.25,0.27,0.36,0.14,0.24,0.18,0.4,,0.39,0.5,0.31,0.37,0.56,0.35,,
