,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.46,2.34,1.53,1.72,1.66,1.4,2.71,3.86,3.36,3.05,3.35,2.75,4.13,4.02,2.56,4.32
e_1,1.61,2.47,1.52,2.02,1.7,1.65,3.47,5.28,3.12,3.33,3.63,3.76,4.71,4.45,3.66,4.68
d_1,1.91,1.69,2.62,1.5,1.49,1.7,3.05,2.71,5.32,2.75,4.35,3.84,4.9,3.8,4.08,4.3
c_1,1.67,1.5,1.64,2.61,2.52,1.79,3.25,2.81,3.11,3.28,2.61,3.6,4.03,3.41,3.96,4.34
b_1,1.57,1.51,1.76,1.48,2.68,2.85,3.45,3.55,3.51,3.62,3.21,3.55,4.8,3.07,3.42,4.57
a_1,1.89,1.63,1.81,1.69,1.43,3.19,3.78,4.01,3.53,3.82,4.32,4.16,5.16,3.26,4.19,5.3
h_1,2.17,1.64,1.88,1.78,1.54,1.59,4.45,3.52,3.58,4.15,3.62,3.66,4.09,3.86,3.97,5.7
d_0,1.72,1.44,1.58,2.73,1.94,1.48,3.39,4.39,2.64,3.45,3.32,3.99,4.48,3.53,4.04,4.51
c_0,1.94,1.85,1.66,1.59,1.51,1.67,3.57,4.42,4.54,3.66,6.18,3.71,4.97,4.77,4.34,5.07
g_1,1.61,1.54,2.48,1.69,1.62,1.61,2.93,3.24,3.55,4.99,3.61,5.15,4.8,3.9,4.89,4.11
b_0,1.98,1.82,1.86,1.96,1.33,1.27,3.49,3.8,3.3,3.9,5.02,3.93,4.88,6.64,4.1,5.02
f_0,1.76,1.5,1.92,1.86,1.87,1.7,3.5,3.62,3.95,3.44,4.03,5.26,5.0,3.89,6.56,4.34
h_0,2.03,1.71,1.84,1.84,1.7,1.58,3.11,3.67,3.66,3.82,3.98,3.91,3.99,3.84,3.64,5.43
a_0,1.63,1.64,1.89,1.93,1.83,1.3,3.42,3.71,3.79,3.75,3.69,4.27,5.11,5.73,3.95,5.35
e_0,2.08,1.37,1.69,1.73,1.95,1.86,3.32,3.21,3.88,3.25,4.24,3.82,5.82,4.31,5.76,4.74
g_0,1.57,1.54,2.3,1.8,1.71,1.58,3.2,3.69,3.79,3.43,3.71,5.63,4.53,4.47,4.53,4.54
