,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.39,0.99,1.1,1.45,1.06,1.15,2.34,2.19,3.92,2.63,2.53,2.52,2.97,3.34,1.59,2.75
f_1,1.74,2.44,1.05,1.15,0.96,1.04,1.8,1.91,2.27,2.23,2.38,1.38,2.15,2.43,1.9,2.84
d_1,1.03,1.23,2.55,0.94,1.07,1.08,2.37,2.02,1.9,3.99,2.91,2.72,2.6,2.98,2.86,3.19
c_1,1.0,1.03,1.26,2.59,1.94,0.98,2.19,2.11,1.98,1.32,1.81,2.17,2.52,2.62,2.43,2.8
b_1,1.12,1.31,1.16,0.89,2.75,1.83,2.04,2.53,2.27,1.74,1.39,2.72,1.89,3.52,2.51,3.31
a_1,1.05,1.22,1.13,1.17,1.01,3.33,2.45,2.55,2.18,2.59,2.73,2.45,2.6,3.55,2.93,3.41
h_1,1.05,1.66,1.23,1.3,1.24,1.03,4.01,2.92,2.34,2.47,2.63,2.9,2.65,2.47,2.83,4.33
g_1,1.22,1.06,1.72,1.36,1.1,0.86,2.28,4.32,2.81,2.58,2.56,3.91,2.91,3.78,2.73,2.33
d_0,1.11,1.21,0.89,2.07,1.28,1.26,2.53,2.29,3.86,2.21,2.6,2.65,2.73,3.35,3.07,3.28
c_0,1.24,1.28,1.16,1.22,1.2,1.14,2.51,2.42,3.18,4.04,4.68,3.4,3.37,4.16,3.07,3.43
b_0,1.36,1.36,1.18,1.36,0.98,0.98,2.46,2.34,2.9,2.41,4.27,3.14,5.07,3.81,2.94,3.27
f_0,1.06,0.99,1.28,1.37,1.1,1.72,2.17,2.03,3.34,2.96,2.56,4.63,3.1,4.34,5.29,3.23
a_0,1.23,1.42,1.31,1.2,1.51,0.71,2.57,2.25,2.6,2.68,2.58,3.22,4.38,3.57,3.83,3.95
h_0,1.18,1.75,1.34,1.37,1.18,1.07,1.82,2.37,2.52,2.38,2.56,2.35,2.49,2.46,3.32,4.32
e_0,1.08,1.51,1.21,1.42,1.18,1.28,2.85,2.52,2.56,2.54,2.77,2.37,2.48,3.08,4.98,3.85
g_0,1.08,1.28,1.89,1.32,1.02,0.98,2.08,2.09,2.41,3.01,2.65,4.1,2.38,3.03,3.09,2.78
