,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,1.5,1.93,1.57,1.83,1.52,0.29,0.32,0.53,0.28,0.34,1.65,0.19,0.31,0.34,0.25
e_1,0.85,0.17,1.88,2.0,1.85,1.58,0.46,0.36,0.55,0.54,0.36,0.41,0.26,0.33,2.61,0.31
c_1,1.99,1.31,0.16,2.21,1.54,1.59,0.45,0.19,0.5,0.96,0.37,0.29,0.31,0.33,0.33,0.21
d_1,1.67,2.45,1.76,0.15,1.88,1.61,0.41,1.92,0.25,0.34,0.35,0.29,0.18,0.27,0.31,0.16
b_1,1.66,1.62,0.85,1.95,0.14,1.96,0.68,0.33,0.55,0.46,2.28,0.41,0.23,0.5,0.28,0.23
a_1,2.0,1.85,1.29,2.25,0.8,0.09,0.63,0.36,0.63,0.36,0.69,0.33,0.25,2.04,0.41,0.25
h_1,1.0,0.95,0.94,0.79,0.82,1.11,0.06,0.2,0.34,0.19,0.2,0.22,0.37,0.17,0.19,0.17
d_0,1.1,0.49,1.03,2.17,0.99,0.79,0.34,0.08,0.26,0.16,0.18,0.17,0.16,0.21,0.16,0.2
g_1,1.22,0.87,1.05,0.85,1.12,0.77,0.2,0.26,0.05,0.18,0.19,0.17,0.11,0.16,0.16,0.35
c_0,1.31,0.94,4.78,0.42,1.07,0.94,0.3,0.22,0.25,0.06,0.13,0.2,0.14,0.23,0.15,0.17
b_0,0.92,0.85,1.36,0.59,3.31,1.11,0.31,0.17,0.26,0.09,0.05,0.23,0.14,0.2,0.16,0.18
f_0,2.68,0.87,1.02,0.89,0.7,0.75,0.28,0.25,0.15,0.19,0.18,0.05,0.13,0.17,0.19,0.08
h_0,0.95,0.99,1.02,0.78,0.99,0.76,0.75,0.24,0.39,0.14,0.16,0.16,0.36,0.19,0.17,0.11
a_0,0.92,1.08,0.76,0.84,1.2,,0.26,0.19,0.37,0.16,0.09,0.15,0.15,0.05,0.17,0.13
e_0,1.05,3.19,0.74,0.71,0.73,1.43,0.27,0.26,0.22,0.17,0.18,0.09,0.12,0.16,0.04,0.13
g_0,0.94,0.86,0.91,0.83,1.04,0.98,0.21,0.18,0.44,0.21,0.19,0.14,0.1,0.18,0.15,0.27
