,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.09,1.25,0.73,0.72,0.65,0.58,0.85,0.77,0.93,0.86,0.94,0.52,0.98,0.86,0.66,0.81
e_1,0.84,2.12,0.62,0.89,0.73,0.72,0.97,0.94,0.97,1.78,0.95,0.94,0.96,1.01,0.68,0.99
d_1,0.79,0.75,2.26,0.56,0.74,0.71,1.08,1.79,0.94,0.64,1.26,1.26,1.06,1.06,1.17,1.03
c_1,0.7,0.68,0.74,2.3,1.33,0.63,0.81,0.45,0.86,0.8,0.69,1.04,0.9,0.98,0.98,0.95
b_1,0.72,0.63,0.88,0.74,2.35,1.43,1.04,0.79,0.85,0.82,0.67,0.9,0.98,0.7,1.04,1.11
a_1,0.8,0.65,0.83,0.93,0.59,3.49,1.08,1.05,1.01,0.9,1.02,1.0,1.02,0.68,0.92,1.0
h_1,1.08,0.78,0.98,0.73,0.78,0.7,2.05,0.95,1.27,0.96,1.07,1.06,0.8,0.9,0.97,1.43
c_0,0.97,0.83,0.95,0.73,0.64,0.75,1.05,1.84,0.93,0.93,2.11,1.08,1.14,1.36,1.28,0.98
g_1,0.73,0.72,1.28,0.78,0.75,0.84,0.98,1.2,2.52,0.88,0.95,1.66,1.15,1.2,1.21,0.78
d_0,0.94,0.79,0.5,1.58,0.73,0.79,0.79,0.81,0.91,1.6,1.0,0.94,1.04,1.17,0.92,0.94
b_0,0.95,0.85,0.93,0.89,0.61,0.48,0.78,1.13,1.27,1.17,1.96,1.02,1.32,2.31,1.23,1.12
f_0,0.65,0.71,0.92,0.99,0.99,0.82,1.03,1.04,1.09,1.01,1.16,1.9,1.2,1.26,2.39,0.98
h_0,1.1,0.76,0.86,0.9,0.75,0.81,0.77,1.04,1.35,1.03,1.12,0.92,0.81,1.09,1.03,1.43
a_0,1.0,0.81,0.88,0.92,0.9,0.47,1.27,1.09,1.0,1.14,1.05,1.16,1.23,2.38,1.17,1.15
e_0,0.85,0.62,0.84,0.95,1.02,0.74,1.18,1.02,1.17,1.01,1.11,0.98,1.14,1.18,2.71,1.25
g_0,0.77,0.72,1.36,0.89,0.75,0.69,1.02,1.05,0.82,0.84,0.91,1.68,0.9,0.98,1.22,0.85
