,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.49,2.19,0.59,0.7,0.54,0.56,0.95,0.79,1.04,0.8,0.9,0.64,0.72,0.8,0.53,0.87
e_1,0.79,11.24,0.49,1.18,0.62,0.58,1.01,0.81,2.28,0.73,1.09,1.01,0.94,1.01,0.73,0.92
d_1,0.82,0.57,13.36,0.42,0.58,0.76,0.83,1.03,0.58,2.91,1.44,1.15,1.12,1.06,1.19,1.15
c_1,0.53,0.52,0.69,12.65,2.18,0.75,0.97,0.88,0.86,0.51,0.55,0.88,0.87,0.83,0.94,0.92
b_1,0.77,0.49,0.88,0.6,12.01,1.82,0.89,0.99,0.65,0.91,0.58,0.89,1.21,0.93,1.03,0.93
a_1,0.78,0.7,0.81,0.83,0.72,18.87,0.91,1.09,0.92,0.98,0.96,0.81,1.07,0.72,0.8,1.0
h_1,1.54,0.88,0.91,0.73,0.63,0.57,3.22,1.22,0.96,0.74,1.08,0.97,0.82,1.01,1.12,1.52
g_1,0.61,0.5,1.97,0.72,0.8,0.75,0.84,3.59,0.75,1.1,1.15,2.13,1.17,1.09,1.64,0.87
d_0,0.71,0.8,0.45,2.58,0.91,0.67,1.01,1.07,1.99,0.63,0.89,1.06,1.02,0.92,1.18,0.89
c_0,0.88,0.73,1.0,0.54,0.5,0.76,1.1,1.19,0.97,2.53,3.66,1.13,1.5,1.6,1.38,1.21
b_0,0.77,0.74,0.97,0.77,0.57,0.57,1.31,1.13,1.12,1.09,3.18,1.23,1.43,3.13,1.3,1.24
f_0,0.51,0.55,1.11,0.65,0.78,0.96,1.32,1.07,1.04,1.38,1.2,3.3,1.63,1.39,4.48,1.39
h_0,0.95,0.7,1.05,0.93,0.68,0.71,0.9,1.58,0.96,0.83,0.99,1.19,0.7,1.2,1.3,1.58
a_0,0.75,0.67,1.23,0.7,0.79,0.61,1.23,1.33,0.93,1.04,1.22,1.38,1.28,2.82,1.35,1.0
e_0,0.88,0.5,1.01,0.88,0.69,0.85,1.17,0.97,0.98,0.77,1.16,1.19,1.38,1.22,3.12,1.19
g_0,0.69,0.71,1.84,0.69,0.56,0.66,1.05,1.14,0.78,1.2,1.05,2.09,1.02,0.92,1.51,0.66
