,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.78,1.18,0.98,0.77,0.78,0.88,0.69,0.66,0.66,0.69,0.61,0.61,0.66,0.63
d_1,1.13,1.0,1.05,0.92,0.9,0.75,0.68,0.73,0.56,0.81,0.69,0.65,0.57,0.55,0.54,0.5
f_1,1.26,0.94,1.0,0.97,0.91,0.77,0.57,0.65,0.72,0.58,0.61,0.57,0.56,0.59,0.47,0.54
c_1,0.85,1.07,1.05,1.0,1.35,0.86,0.76,0.51,0.68,0.59,0.5,0.63,0.55,0.54,0.59,0.6
b_1,1.0,1.11,1.08,0.75,1.0,1.52,0.76,0.66,0.75,0.79,0.63,0.63,0.69,0.48,0.61,0.61
a_1,1.32,1.36,1.32,1.15,0.66,1.0,0.91,0.8,0.88,0.8,0.88,0.74,0.73,0.77,0.7,0.72
h_1,1.32,1.44,1.77,1.32,1.29,1.04,1.0,0.83,1.09,0.87,0.86,0.78,0.83,0.82,0.72,0.84
d_0,1.16,1.42,1.43,2.03,1.49,1.32,1.27,1.0,1.08,0.78,0.95,0.83,0.94,0.88,0.74,0.86
g_1,1.44,1.72,1.41,1.48,1.39,1.14,0.94,0.92,1.0,0.96,0.9,1.14,0.71,0.78,0.88,0.87
c_0,1.48,1.25,1.76,1.69,1.25,1.23,1.16,1.32,1.06,1.0,1.38,0.97,1.04,0.98,0.86,0.79
b_0,1.57,1.39,1.62,1.99,1.49,1.11,1.16,1.06,1.15,0.74,1.0,0.99,1.01,1.3,0.88,0.84
f_0,1.48,1.62,1.74,1.65,1.49,1.37,1.2,1.24,0.86,1.04,0.97,1.0,0.87,1.03,1.37,0.81
h_0,1.66,1.74,1.8,1.84,1.47,1.29,1.24,1.06,1.4,1.01,1.0,1.08,1.0,0.87,0.82,1.11
a_0,1.69,1.81,1.67,1.87,2.08,1.26,1.2,1.13,1.36,0.97,0.77,1.03,1.14,1.0,0.97,0.92
e_0,1.61,1.88,2.19,1.74,1.72,1.37,1.5,1.33,1.16,1.1,1.18,0.77,1.21,1.07,1.0,1.03
g_0,1.62,2.09,1.74,1.71,1.58,1.3,1.18,1.17,1.12,1.33,1.16,1.25,0.88,1.11,0.92,1.01
