,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.46,2.13,1.41,1.54,1.44,1.22,2.48,2.77,3.17,2.59,3.17,2.32,3.02,3.36,3.84,2.53
e_1,1.38,2.46,1.38,1.7,1.39,1.49,3.51,2.9,4.98,3.36,3.76,3.82,3.79,4.05,4.22,3.08
d_1,1.58,1.48,2.53,1.32,1.37,1.53,2.83,2.59,2.34,5.14,4.11,3.78,3.38,4.05,3.84,3.72
c_1,1.48,1.39,1.52,2.6,2.36,1.45,2.51,2.46,2.63,2.27,2.34,2.91,3.19,3.89,3.73,2.96
b_1,1.45,1.44,1.59,1.3,2.79,2.48,2.84,3.03,3.13,2.92,2.16,3.29,2.61,4.04,3.92,3.4
a_1,1.63,1.41,1.61,1.51,1.37,3.2,3.2,3.22,3.25,3.22,3.22,3.47,2.87,5.36,4.26,3.49
h_1,1.99,1.36,1.55,1.68,1.39,1.32,4.22,3.66,3.55,3.37,3.41,3.29,3.07,3.57,5.24,3.8
g_1,1.43,1.42,2.23,1.59,1.34,1.53,2.48,4.62,2.71,3.22,3.2,4.44,2.85,3.55,4.27,3.45
d_0,1.57,1.25,1.3,2.48,1.67,1.46,2.94,3.14,4.3,2.41,3.26,3.35,3.48,4.29,4.09,3.45
c_0,1.84,1.56,1.34,1.48,1.31,1.43,3.09,3.53,4.05,4.4,6.26,3.96,4.22,4.44,4.25,4.23
b_0,1.82,1.48,1.5,1.86,1.51,1.27,3.1,3.5,3.45,2.73,4.56,2.99,5.87,4.95,4.59,3.57
f_0,1.54,1.35,1.58,1.76,1.65,1.65,3.43,2.62,3.72,3.16,3.78,4.88,3.32,4.42,4.23,7.06
a_0,1.92,1.43,1.56,1.63,1.55,1.23,3.39,3.58,3.48,3.15,3.38,3.68,5.15,4.14,4.54,3.39
h_0,2.14,1.6,1.68,1.59,1.5,1.13,2.41,3.89,3.02,3.01,3.12,3.44,3.39,3.55,5.06,3.32
g_0,1.56,1.45,1.96,1.58,1.47,1.67,2.95,2.42,3.18,3.06,3.07,4.72,3.57,4.1,3.61,3.87
e_0,1.76,1.33,1.62,1.94,1.5,1.46,2.78,3.49,3.1,3.1,3.59,2.47,3.72,4.54,4.34,5.56
