,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.27,0.95,0.95,0.85,0.73,0.58,0.66,0.63,0.55,0.58,0.57,0.51,0.5,0.52,0.4
e_1,0.8,1.0,0.95,1.11,0.97,0.9,0.72,0.7,0.89,0.64,0.68,0.71,0.61,0.55,0.63,0.56
d_1,1.05,1.01,1.0,0.99,0.93,0.79,0.71,0.58,0.67,0.77,0.67,0.59,0.59,0.63,0.48,0.57
c_1,1.06,0.91,0.99,1.0,1.28,0.97,0.71,0.69,0.5,0.62,0.54,0.63,0.63,0.62,0.55,0.58
b_1,1.17,1.02,1.06,0.8,1.0,1.27,0.81,0.71,0.7,0.78,0.69,0.66,0.69,0.53,0.67,0.61
a_1,1.35,1.13,1.28,1.01,0.83,1.0,0.96,0.81,0.75,0.89,0.89,0.78,0.78,0.71,0.66,0.7
h_1,1.73,1.4,1.42,1.42,1.25,1.03,1.0,1.07,0.96,0.83,0.87,0.78,0.81,0.77,0.93,0.81
g_1,1.47,1.43,1.67,1.47,1.39,1.21,0.95,1.0,0.97,0.94,0.98,1.03,0.79,0.87,0.87,0.83
d_0,1.54,1.19,1.46,2.07,1.41,1.29,1.06,1.02,1.0,0.82,1.06,0.92,0.98,0.95,0.87,0.91
c_0,1.81,1.52,1.29,1.66,1.27,1.17,1.18,1.09,1.13,1.0,1.33,0.91,1.03,1.02,0.88,0.95
b_0,1.77,1.45,1.45,1.85,1.4,1.1,1.16,1.1,0.96,0.77,1.0,0.91,0.97,1.25,0.82,0.9
f_0,1.73,1.42,1.65,1.62,1.54,1.34,1.27,0.94,1.05,1.04,1.11,1.0,1.0,1.04,0.78,1.34
h_0,1.93,1.68,1.69,1.59,1.45,1.26,1.28,1.3,1.02,0.98,1.04,0.94,1.0,0.94,1.01,0.8
a_0,2.06,1.76,1.61,1.7,1.74,1.37,1.29,1.13,1.11,0.94,0.83,1.03,1.03,1.0,1.0,0.94
g_0,1.77,1.61,2.06,1.76,1.56,1.45,1.04,1.22,1.2,1.1,1.18,1.3,1.0,1.07,1.0,1.09
e_0,2.48,1.79,1.71,1.77,1.72,1.35,1.21,1.19,1.12,1.08,1.09,0.74,1.18,1.07,0.94,1.0
