,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.39,1.92,1.15,1.3,1.05,1.06,2.17,1.9,2.26,2.56,2.66,1.43,2.79,2.64,2.24,3.5
e_1,1.11,2.43,1.18,1.56,1.18,1.2,2.39,2.38,2.32,4.41,2.85,3.01,3.63,2.71,2.19,3.24
d_1,1.24,1.14,2.54,0.95,1.29,1.07,2.36,2.63,4.12,1.82,2.87,3.07,3.45,3.02,2.99,3.47
c_1,1.21,0.99,1.3,2.61,2.06,1.04,2.52,2.41,1.59,2.28,2.18,2.55,3.05,2.74,2.84,3.05
b_1,1.28,1.24,1.12,1.03,2.74,2.43,2.23,2.3,2.52,2.53,1.97,2.59,2.85,2.2,2.74,3.05
a_1,1.51,1.19,1.32,1.46,0.84,3.3,2.45,2.32,2.85,3.06,3.02,2.76,4.23,2.12,2.97,2.48
h_1,1.82,1.27,1.46,1.14,1.27,1.35,4.07,2.95,2.91,2.97,2.6,2.54,2.9,2.62,2.71,4.72
g_1,1.27,1.16,1.83,1.24,1.39,1.28,2.36,4.54,2.83,2.4,3.19,4.31,3.72,3.16,2.78,3.23
c_0,1.56,1.42,1.22,1.07,1.19,1.29,2.55,2.62,4.18,3.23,4.86,3.02,3.79,3.55,3.07,4.11
d_0,1.45,1.07,0.91,2.28,1.31,1.33,2.46,2.9,2.05,3.94,3.01,2.79,4.37,3.21,3.49,4.12
b_0,1.59,1.12,1.43,1.6,1.08,1.1,2.85,2.39,2.83,2.75,4.33,3.05,3.9,5.53,3.53,4.22
f_0,1.34,1.1,1.38,1.3,1.44,1.47,3.15,2.3,3.36,3.03,3.28,4.68,4.33,3.27,5.64,3.67
h_0,1.78,1.19,1.4,1.57,1.28,0.97,2.03,3.25,2.91,2.56,2.84,2.85,2.76,2.97,3.56,4.7
a_0,1.39,1.33,1.29,1.49,1.52,1.06,3.13,2.55,2.86,2.97,2.51,3.21,4.2,4.86,3.4,4.38
e_0,1.84,1.07,1.24,1.47,1.1,1.31,3.12,2.91,3.32,2.85,3.13,2.51,3.79,3.16,5.32,3.62
g_0,1.06,1.32,1.88,1.36,1.36,1.56,2.28,2.43,3.01,2.34,2.74,4.28,2.99,2.6,3.16,3.26
