,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,12860.69,8480.2,5610.45,5949.29,7580.16,44270.51,6703443.54,11420993.65,15781852.98,19526164.92,33839225.04,44292342.97,123237688.87,183088462.03,139410614.17,399344278.76
e_1,4931.23,14551.15,4242.18,7523.97,9328.65,43753.43,8147272.29,11372290.63,17407818.89,37822240.83,37675324.61,78367318.13,138168256.94,208523928.41,164656532.24,393500198.66
d_1,5352.25,4490.17,16623.19,5236.73,8135.94,47558.84,7869579.0,14293364.63,33605057.56,12008778.92,44425314.37,89318956.23,162634416.18,222808234.24,243796984.44,436508141.78
c_1,3982.87,5181.65,5658.87,18368.13,16962.15,40068.96,5945393.98,10047751.43,9181071.45,17737894.18,22057390.03,63352509.2,134114781.91,177782838.08,199897559.26,377258078.13
b_1,4890.9,4174.58,5999.24,6132.46,28464.54,80306.29,6365319.41,12467457.78,19107531.01,19345484.92,23285431.07,69825025.46,116874907.53,230799312.9,243002024.02,434322955.09
a_1,5124.95,4912.43,6474.66,6798.37,7881.22,207357.21,8116034.28,13068488.41,22013350.81,19786504.49,34002568.57,76972503.69,92836408.97,231695999.6,252625042.84,479034170.3
h_1,6828.79,5264.25,8011.73,6277.4,8268.85,41170.92,16539002.0,19095727.72,22279961.44,20700554.97,39610188.58,71822451.21,139238907.75,166819815.67,252864469.49,595022882.86
g_1,5177.97,4522.68,10222.77,6912.53,8396.0,45462.24,6847623.52,36228853.72,17630345.68,15986362.02,36542990.36,133626469.18,145719146.15,222342710.79,304617100.79,340759085.58
c_0,5698.5,5360.21,8028.79,5478.15,6750.34,49322.0,9580370.05,16947148.76,36996838.68,21347592.52,74931586.3,89269673.41,198480915.48,224725401.99,290111524.56,500385786.12
d_0,4763.68,5769.97,4086.81,12056.96,11126.18,43628.04,9132777.43,15137992.47,12938088.31,36388763.1,34174511.2,74504210.97,140225880.08,205881423.27,210726873.38,437260357.48
b_0,6018.4,5930.45,7568.04,7157.23,5451.48,35834.07,8255425.26,17616792.93,21500636.83,21656837.86,71000839.11,97198375.23,348541317.49,258195142.71,259248596.42,451484037.82
f_0,4503.94,5031.58,7087.56,7762.26,9984.97,44715.51,8059151.84,18180692.35,24016385.32,21934312.82,38937985.5,149316794.79,160676843.36,262971479.92,538761021.51,422155120.52
a_0,5926.44,5399.92,7825.24,7112.2,10409.22,30173.46,10689676.06,17072683.19,20133163.38,20530025.14,42030590.94,86363218.92,317569464.77,265925059.02,288822140.01,474942441.06
h_0,7030.55,5440.22,7838.07,6307.46,7648.34,56705.15,5689520.63,22258941.65,19936685.89,19951084.4,39220495.76,76968368.18,134519969.18,152821658.63,270193419.89,565070111.11
e_0,5784.7,2845.73,8336.27,7293.41,8725.65,59411.33,9637025.11,16158276.66,18989035.9,21495591.6,35665809.29,86913719.13,158059942.53,221569146.34,637593418.03,555751267.31
g_0,4298.66,4342.25,10654.5,6260.0,9970.05,50208.75,9130004.38,13448521.61,22334438.26,16375607.62,39332757.37,121753214.08,149623662.89,198051763.77,305779268.62,326158013.78
