,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.58,0.72,0.54,0.52,0.46,0.41,0.34,0.58,0.38,0.36,0.36,0.29,0.35,0.22,0.31
f_1,0.93,0.96,0.62,0.6,0.51,0.41,0.34,0.36,0.41,0.39,0.37,0.25,0.26,0.32,0.2,0.31
c_1,0.58,0.62,0.95,0.61,0.83,0.49,0.45,0.36,0.35,0.31,0.27,0.38,0.29,0.34,0.28,0.32
d_1,0.63,0.65,0.58,0.96,0.56,0.46,0.47,0.36,0.38,0.47,0.58,0.36,0.32,0.36,0.3,0.28
b_1,0.69,0.68,0.56,0.59,0.95,0.76,0.45,0.37,0.36,0.33,0.4,0.33,0.24,0.38,0.26,0.32
a_1,0.75,0.73,0.69,0.72,0.52,0.95,0.57,0.48,0.42,0.48,0.39,0.37,0.33,0.44,0.35,0.34
h_1,0.96,1.25,0.85,0.9,0.79,0.53,0.8,0.62,0.52,0.54,0.56,0.44,0.44,0.48,0.44,0.54
g_1,0.93,0.95,0.95,1.2,0.81,0.61,0.63,0.8,0.5,0.6,0.59,0.7,0.42,0.49,0.52,0.4
d_0,0.89,0.98,1.4,0.8,0.97,0.68,0.62,0.57,0.73,0.61,0.45,0.51,0.46,0.55,0.45,0.47
b_0,1.03,1.08,1.04,0.97,0.76,0.59,0.68,0.58,0.61,0.77,0.6,0.57,0.8,0.58,0.48,0.52
c_0,1.13,1.08,0.99,0.89,0.76,0.74,0.69,0.56,0.72,0.91,0.75,0.56,0.62,0.62,0.49,0.53
f_0,0.88,1.02,1.06,1.04,1.09,0.68,0.74,0.58,0.64,0.65,0.65,0.74,0.57,0.61,0.78,0.47
a_0,1.08,1.26,1.08,1.09,1.17,0.61,0.71,0.6,0.74,0.56,0.61,0.55,0.69,0.68,0.46,0.62
h_0,1.18,1.31,1.09,1.14,0.94,0.72,0.65,0.78,0.62,0.65,0.6,0.57,0.49,0.53,0.44,0.63
e_0,1.08,1.43,1.14,1.11,1.02,0.61,0.71,0.59,0.68,0.76,0.67,0.54,0.65,0.75,0.69,0.6
g_0,1.22,0.99,1.14,1.41,0.97,0.8,0.68,0.57,0.72,0.77,0.69,0.78,0.59,0.58,0.53,0.52
