,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.84,0.93,1.16,1.04,1.04,1.02,1.37,1.0,1.04,0.95,1.1,1.09,0.98,1.06,0.93
f_1,1.18,1.0,0.95,0.98,0.98,0.87,0.87,1.06,0.93,1.05,0.97,0.91,0.88,0.9,1.08,0.89
d_1,1.08,1.05,1.0,1.0,0.92,0.96,0.94,0.89,1.23,0.83,1.09,0.99,0.97,1.0,0.81,0.92
c_1,0.85,1.02,1.05,1.0,1.28,0.96,0.98,0.77,0.91,0.94,0.89,0.95,1.07,0.93,1.06,1.09
b_1,0.96,1.01,1.08,0.8,1.0,1.38,1.08,0.89,1.02,1.06,1.0,1.01,1.0,0.99,0.99,1.06
a_1,0.94,1.16,0.99,1.02,0.76,1.0,1.29,1.08,1.01,1.14,1.21,1.04,1.11,1.16,1.13,1.08
h_1,0.97,1.14,1.03,1.02,0.93,0.79,1.0,1.0,0.94,1.12,0.93,0.9,0.95,0.95,1.12,0.92
d_0,0.78,0.94,1.08,1.28,1.11,0.9,1.02,1.0,0.83,1.04,0.96,0.98,1.05,0.93,1.08,1.15
c_0,1.01,1.04,0.86,1.05,0.96,0.93,1.07,1.19,1.0,1.07,1.3,1.06,0.98,1.25,0.98,1.04
g_1,0.97,0.99,1.17,1.0,0.96,0.9,0.89,0.95,0.95,1.0,0.94,1.21,0.79,0.92,1.0,1.02
b_0,1.06,1.01,0.89,1.15,1.0,0.86,1.01,1.0,0.76,1.03,1.0,1.02,1.12,1.4,0.98,1.04
f_0,0.95,1.14,1.0,1.04,1.02,0.91,1.15,0.97,0.97,0.83,0.98,1.0,0.95,1.12,0.89,1.39
h_0,0.97,1.16,1.03,0.92,1.02,0.84,1.06,0.99,0.99,1.26,0.91,1.02,1.0,0.92,1.1,0.96
a_0,1.05,1.1,0.98,1.05,1.03,0.87,1.02,0.98,0.82,1.05,0.75,0.9,1.02,1.0,1.01,0.94
g_0,0.98,0.96,1.2,0.94,1.0,0.85,0.86,0.94,1.0,1.01,1.0,1.17,0.93,0.98,1.0,0.96
e_0,1.02,1.13,1.09,0.92,0.97,0.91,1.1,0.79,0.97,0.98,1.01,0.74,1.03,0.99,1.06,1.0
