,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.15,110.06,91.92,81.72,70.61,73.04,20.56,13.81,40.88,12.88,,15.8,14.59,10.03,14.26,13.24
e_1,46.62,1.15,61.28,151.76,120.62,90.43,20.56,17.45,25.15,18.56,21.38,18.43,11.59,11.5,,15.05
d_1,113.62,100.89,1.15,118.04,99.83,99.95,23.89,,13.91,33.21,16.35,14.18,16.42,11.5,19.25,7.36
c_1,88.68,106.82,100.27,1.15,107.22,105.5,26.79,10.36,31.14,,15.89,17.84,30.31,11.17,18.33,17.42
b_1,117.29,86.48,143.87,51.4,1.15,99.95,24.56,30.14,36.33,26.29,26.48,,21.89,13.48,17.5,17.42
a_1,181.8,157.91,174.16,199.19,74.23,1.15,52.0,44.2,34.42,48.54,34.75,50.27,,20.58,27.5,27.58
h_1,113.62,100.89,132.36,75.88,96.5,82.57,2.0,15.79,24.22,14.67,16.35,15.36,17.91,,16.74,12.26
d_0,86.57,55.03,,69.28,96.5,90.43,23.26,3.13,25.15,27.43,16.85,18.43,18.76,13.48,17.5,13.79
g_1,106.94,129.71,143.87,177.06,144.75,126.6,27.63,27.62,2.0,21.76,22.24,39.5,19.7,12.22,29.62,
c_0,101.0,90.8,46.61,,125.87,99.95,23.89,17.92,32.7,3.03,18.53,21.27,24.63,13.03,18.33,19.47
f_0,,129.71,114.1,113.82,85.15,146.08,42.1,19.5,28.43,17.53,3.12,26.33,17.91,15.04,15.4,8.71
b_0,110.18,125.24,103.41,132.79,,94.95,31.57,33.15,24.22,12.37,20.59,2.96,30.31,17.0,27.5,13.24
a_0,202.0,165.09,174.16,167.74,160.83,,46.53,28.83,38.47,25.24,32.71,13.82,3.26,,,22.07
h_0,110.18,82.55,127.27,102.81,107.22,135.64,,20.72,22.55,16.18,18.53,27.65,,,21.39,11.03
e_0,191.37,,150.41,127.48,120.62,158.25,55.25,24.56,59.45,42.07,18.53,42.54,,18.62,3.06,
g_0,103.89,151.33,110.3,122.58,144.75,146.08,21.05,26.52,,27.43,27.8,27.65,28.14,13.03,,
