,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,1.25,0.9,1.25,1.35,1.37,0.71,0.76,0.72,0.51,0.62,0.63,0.62,0.62,1.28,0.54
d_1,1.49,0.4,1.45,1.3,1.22,1.07,0.88,0.47,1.47,0.62,0.58,0.5,0.37,0.7,0.51,0.38
f_1,1.5,1.24,0.4,1.15,1.28,1.62,0.49,0.73,0.49,0.53,0.52,1.18,0.38,0.66,0.51,0.56
c_1,1.22,1.43,1.27,0.39,1.6,1.15,0.7,0.63,0.38,1.12,0.49,0.57,0.49,0.49,0.59,0.41
b_1,1.19,1.33,1.29,0.81,0.38,1.71,0.86,0.8,0.64,0.69,1.11,0.63,0.51,0.46,0.64,0.58
a_1,1.3,1.54,1.22,1.76,0.74,0.31,0.57,0.92,0.66,0.67,0.66,0.58,0.68,1.05,0.73,0.56
h_1,0.97,0.8,1.25,1.02,0.8,1.04,0.25,0.53,0.45,0.46,0.5,0.43,0.6,0.39,0.37,0.4
g_1,1.05,1.05,1.05,0.95,0.87,0.79,0.45,0.25,0.4,0.42,0.42,0.52,0.33,0.38,0.44,0.6
d_0,0.56,1.49,1.12,1.16,1.06,0.92,0.51,0.66,0.27,0.49,0.46,0.43,0.38,0.42,0.42,0.38
c_0,1.04,0.62,0.98,2.01,0.98,0.93,0.51,0.6,0.51,0.28,0.5,0.47,0.4,0.51,0.41,0.32
b_0,0.88,0.84,1.01,1.29,2.42,0.84,0.46,0.53,0.41,0.23,0.26,0.41,0.38,0.39,0.38,0.34
f_0,0.9,1.01,1.56,1.24,1.06,0.77,0.51,0.34,0.45,0.42,0.42,0.24,0.37,0.36,0.47,0.25
h_0,0.86,1.13,1.01,0.93,1.0,0.75,0.78,0.54,0.39,0.41,0.44,0.37,0.56,0.4,0.34,0.37
a_0,0.91,0.86,0.83,0.92,1.29,1.52,0.58,0.55,0.41,0.35,0.3,0.44,0.44,0.22,0.36,0.37
e_0,1.46,0.92,1.04,1.03,1.03,0.91,0.55,0.44,0.42,0.4,0.47,0.23,0.35,0.42,0.2,0.45
g_0,0.87,1.05,0.92,1.17,0.98,0.73,0.42,,0.51,0.48,0.49,0.45,0.29,0.4,0.35,0.52
