,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.1,1.01,1.48,2.91,18.76,31.47,35.11,21.65,39.63,39.99,62.47,81.94,91.84,85.14
f_1,0.85,1.0,1.45,1.33,1.46,2.38,15.45,26.32,27.32,27.88,35.02,40.52,58.02,68.82,66.78,112.17
e_1,0.9,0.7,1.0,1.23,1.56,2.62,16.71,34.39,23.82,30.81,34.01,42.58,67.26,76.81,73.31,127.09
c_1,1.01,0.74,0.82,1.0,1.75,1.88,14.5,14.96,18.04,23.33,23.65,32.88,52.14,67.57,80.52,105.38
b_1,0.66,0.68,0.65,0.57,1.0,3.08,11.88,17.36,15.55,16.66,24.63,25.82,37.84,45.37,57.22,64.77
a_1,0.34,0.42,0.38,0.53,0.32,1.0,6.13,7.63,8.8,10.27,13.51,18.07,22.28,31.07,33.1,44.23
h_1,0.05,0.06,0.06,0.07,0.08,0.15,1.0,1.36,1.39,1.82,1.8,2.38,3.64,3.97,5.16,7.61
d_0,0.03,0.04,0.03,0.07,0.06,0.12,0.77,1.0,0.94,1.14,1.61,1.81,2.69,3.2,3.4,5.51
c_0,0.03,0.04,0.04,0.05,0.06,0.11,0.73,1.07,1.0,1.15,1.75,1.55,2.3,3.38,3.01,4.62
g_1,0.04,0.03,0.03,0.05,0.06,0.1,0.56,0.87,0.92,1.0,1.2,1.96,1.87,2.55,3.34,4.21
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.58,0.64,0.56,0.82,1.0,1.19,1.87,3.01,3.04,3.22
f_0,0.03,0.02,0.02,0.03,0.04,0.05,0.41,0.59,0.62,0.54,0.82,1.0,1.61,2.0,3.1,2.12
h_0,0.02,0.02,0.02,0.02,0.03,0.04,0.28,0.38,0.42,0.53,0.54,0.65,1.0,1.22,1.27,2.18
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.29,0.29,0.4,0.34,0.47,0.8,1.0,1.11,1.5
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.31,0.34,0.29,0.37,0.33,0.8,0.9,1.0,1.33
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.13,0.18,0.23,0.24,0.3,0.48,0.45,0.69,0.77,1.0
