,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.43,1.01,1.21,1.19,2.98,16.89,31.05,30.56,30.72,37.28,49.94,70.23,65.09,76.6,121.75
e_1,0.7,1.0,0.86,1.14,1.54,3.06,21.59,26.76,28.65,41.43,36.59,55.16,89.56,78.81,121.35,106.38
d_1,0.99,1.16,1.0,0.97,1.1,2.63,18.47,19.56,34.23,22.25,38.77,54.66,61.63,69.99,88.15,76.04
c_1,0.82,0.88,1.04,1.0,1.62,2.55,17.15,18.75,20.56,20.12,29.59,45.54,62.55,74.19,78.04,105.71
b_1,0.84,0.65,0.91,0.62,1.0,2.98,14.91,21.58,21.78,21.08,26.5,42.89,57.2,67.4,91.98,88.94
a_1,0.34,0.33,0.38,0.39,0.34,1.0,8.5,11.01,8.96,10.75,13.62,17.92,23.1,27.15,36.93,40.36
h_1,0.06,0.05,0.06,0.06,0.07,0.12,1.0,1.8,1.48,1.18,2.08,2.35,3.55,3.55,3.76,5.82
g_1,0.03,0.04,0.05,0.05,0.04,0.09,0.56,1.0,0.82,1.05,1.41,2.34,2.57,2.25,3.73,3.3
c_0,0.04,0.03,0.03,0.05,0.04,0.11,0.65,1.26,1.0,1.05,1.89,1.83,2.76,2.57,3.47,3.67
d_0,0.03,0.02,0.04,0.05,0.05,0.1,0.88,0.95,0.88,1.0,1.35,1.79,2.71,2.44,2.53,4.3
b_0,0.03,0.02,0.03,0.04,0.04,0.07,0.52,0.69,0.57,0.79,1.0,1.63,2.63,2.05,2.07,2.63
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.43,0.46,0.54,0.59,0.61,1.0,1.3,1.55,2.54,1.62
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.29,0.37,0.36,0.34,0.37,0.77,1.0,1.18,1.45,1.4
h_0,0.02,0.01,0.01,0.01,0.02,0.04,0.28,0.45,0.38,0.41,0.5,0.65,0.82,1.0,1.43,1.62
e_0,0.01,,0.01,0.01,0.01,0.03,0.27,0.28,0.29,0.4,0.49,0.36,0.64,0.64,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.32,0.28,0.24,0.34,0.66,0.72,0.6,0.84,1.0
