,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,2.13,2.75,3.04,3.99,2.47,1.26,1.14,1.01,1.26,0.91,1.1,0.86,0.97,2.6,0.77
f_1,3.89,1.07,2.99,3.99,2.6,2.41,0.94,0.91,0.9,1.29,1.01,1.97,0.58,0.75,0.82,0.97
d_1,4.74,4.09,1.07,2.92,3.66,3.31,1.2,2.08,1.09,0.79,0.93,1.0,0.81,0.97,0.77,0.52
c_1,3.44,3.47,5.3,1.07,3.89,3.17,1.41,0.66,2.04,1.38,1.21,0.93,0.9,0.79,1.09,0.79
b_1,3.57,5.51,3.76,2.36,1.07,5.48,1.6,1.32,1.42,1.92,3.98,1.3,0.95,1.64,0.99,0.75
a_1,6.15,5.92,4.82,5.4,2.84,1.07,2.65,1.75,1.28,1.59,1.36,1.27,1.13,4.35,1.35,1.59
h_1,7.63,6.94,7.69,8.28,7.21,5.03,1.38,2.5,2.16,2.86,2.11,1.98,2.58,1.5,1.72,1.82
d_0,5.27,9.69,19.03,10.36,6.92,6.25,3.71,1.66,2.93,3.53,2.22,2.62,1.74,2.08,1.97,1.92
c_0,8.54,8.48,5.31,26.13,8.14,9.04,3.47,2.97,1.62,3.36,2.94,2.44,1.74,2.12,2.04,1.87
g_1,8.25,9.73,9.37,9.63,6.39,10.72,2.72,2.93,2.4,1.37,2.61,2.32,1.48,1.67,1.97,2.61
b_0,9.22,8.49,10.0,9.19,10.59,8.25,3.3,3.06,1.84,3.61,1.62,2.3,2.1,2.96,2.08,1.96
f_0,8.7,19.51,9.09,10.43,8.68,9.19,3.84,2.82,3.11,2.74,2.62,1.63,1.96,2.02,2.32,1.31
h_0,10.32,14.74,12.11,12.46,11.49,11.15,8.27,3.97,3.68,5.23,3.58,3.34,4.41,2.84,2.66,2.94
a_0,11.8,13.89,12.91,16.05,12.55,,5.34,4.34,4.22,6.1,2.43,4.05,3.42,1.7,3.32,2.67
e_0,,18.14,15.71,11.46,11.18,9.74,6.09,4.43,4.22,4.04,4.03,2.33,2.78,3.63,1.68,3.09
g_0,15.5,11.7,16.19,15.14,14.2,10.91,4.5,4.67,4.16,9.4,4.08,4.26,2.69,3.11,3.52,4.06
