,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.03,0.96,0.9,0.9,1.0,1.0,0.67,1.46,,1.02,0.93,1.05,0.92,1.16,1.06
f_1,0.97,1.0,1.35,1.15,1.16,1.04,0.88,0.98,0.82,0.87,0.95,,0.82,1.04,0.73,1.05
e_1,1.04,0.74,1.0,1.09,0.9,0.87,1.49,0.89,1.04,1.38,1.41,0.93,0.96,0.78,,0.84
c_1,1.11,0.87,0.92,1.0,1.26,0.77,1.16,0.88,,0.68,1.1,1.2,1.07,1.16,1.17,0.89
b_1,1.11,0.86,1.11,0.79,1.0,1.3,0.96,1.07,1.0,1.16,,1.0,0.83,0.98,1.11,1.04
a_1,1.0,0.96,1.15,1.29,0.77,1.0,0.93,1.07,1.36,0.89,0.96,0.97,,1.02,,1.0
h_1,1.0,1.14,0.67,0.86,1.04,1.08,1.0,1.48,1.0,0.97,0.92,0.98,1.04,,0.98,1.09
g_1,1.5,1.02,1.13,1.13,0.94,0.94,0.68,1.0,0.82,0.82,1.3,1.33,1.0,0.64,1.03,
c_0,0.68,1.22,0.96,,1.0,0.73,1.0,1.21,1.0,1.23,1.22,1.03,1.1,1.1,0.94,0.93
d_0,,1.14,0.72,1.47,0.86,1.13,1.03,1.22,0.81,1.0,0.79,0.98,0.87,1.12,1.02,1.19
b_0,0.98,1.05,0.71,0.91,,1.04,1.09,0.77,0.82,1.27,1.0,1.02,1.34,1.19,0.9,1.02
f_0,1.08,,1.07,0.83,1.0,1.03,1.02,0.75,0.97,1.02,0.98,1.0,1.06,1.17,1.28,0.94
a_0,0.95,1.21,1.04,0.94,1.21,,0.96,1.0,0.91,1.15,0.75,0.94,1.0,1.11,1.08,0.87
h_0,1.08,0.96,1.28,0.86,1.02,0.98,,1.56,0.91,0.89,0.84,0.85,0.9,,0.77,1.11
e_0,0.86,1.37,,0.85,0.9,,1.02,0.97,1.07,0.98,1.11,0.78,0.93,1.29,1.0,0.97
g_0,0.94,0.96,1.2,1.13,0.96,1.0,0.92,,1.07,0.84,0.98,1.06,1.15,0.9,1.03,
