,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.44,1.18,0.57,0.64,0.56,0.53,0.93,0.84,0.8,0.82,0.39,0.88,0.83,0.71,0.68,0.78
e_1,0.68,2.47,0.81,0.55,0.57,0.64,0.84,1.67,0.92,0.94,1.08,1.04,1.13,0.66,0.97,0.8
c_1,0.72,0.51,2.81,0.67,1.27,0.6,0.83,0.71,0.75,0.29,0.84,0.69,0.95,0.71,0.91,1.08
d_1,0.64,0.64,0.5,2.98,0.59,0.58,0.95,0.44,1.04,1.95,1.27,1.13,0.93,1.15,0.98,0.98
b_1,0.71,0.58,0.62,0.6,3.31,1.29,0.85,0.93,0.86,0.72,0.85,0.4,1.01,0.91,0.95,1.03
a_1,0.7,0.57,0.82,0.76,0.57,4.27,0.83,1.05,0.74,0.79,0.92,0.87,1.1,1.11,0.56,0.93
h_1,1.17,0.72,0.93,0.73,0.68,0.63,2.79,0.95,1.52,1.1,0.98,1.23,0.65,0.91,1.02,1.53
d_0,0.88,0.72,1.4,0.47,0.85,0.76,1.24,1.99,0.97,0.96,1.29,1.07,1.04,0.98,1.05,1.28
g_1,0.78,0.65,0.72,1.38,0.65,0.68,1.08,0.87,3.32,1.08,1.76,1.19,0.95,1.33,1.28,0.71
c_0,0.74,0.91,0.54,0.88,0.62,0.59,1.28,1.09,1.38,2.25,1.31,2.4,1.2,1.51,1.5,1.18
f_0,0.47,0.6,0.88,0.99,0.84,0.94,1.27,1.14,1.14,1.38,2.44,1.26,1.13,2.9,1.16,1.39
b_0,0.86,0.85,0.88,0.82,0.44,0.65,1.25,1.07,1.39,1.16,1.16,2.71,1.26,1.27,2.54,1.41
h_0,1.14,0.72,0.84,0.82,0.76,0.8,0.91,1.1,1.41,0.97,1.0,1.28,0.84,1.24,1.23,1.54
e_0,0.66,0.56,0.92,0.86,0.86,0.74,1.46,1.41,1.27,1.25,1.3,1.49,1.49,3.4,1.65,1.5
a_0,1.03,0.68,0.94,0.93,0.71,0.45,1.17,1.13,1.0,1.08,1.22,1.28,1.27,1.2,3.49,1.36
g_0,0.5,0.75,0.8,1.27,0.81,0.74,1.27,0.78,0.79,1.19,1.83,1.28,1.18,1.44,1.17,0.87
