,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.09,2.11,2.29,2.23,2.01,1.82,0.51,0.73,0.47,0.48,0.72,0.46,0.27,0.44,0.47,0.41
e_1,1.48,1.09,2.65,2.61,2.61,2.38,0.7,0.77,0.49,0.51,0.68,0.48,0.34,0.63,0.49,0.38
d_1,2.63,2.63,1.08,2.54,2.4,2.11,0.65,0.46,0.48,0.68,0.42,0.46,0.3,0.43,0.38,0.22
c_1,2.8,2.18,3.71,1.1,2.86,2.71,0.83,0.83,0.74,0.33,0.54,0.58,0.36,0.65,0.58,0.39
b_1,3.52,3.17,2.97,1.7,1.1,2.63,0.81,0.83,0.83,0.61,0.58,0.8,0.5,0.63,0.66,0.43
a_1,4.95,5.54,4.74,4.39,2.82,1.13,1.48,1.53,1.06,1.19,1.07,1.25,0.74,0.95,1.19,0.75
h_1,9.47,8.97,9.23,9.0,8.94,7.14,1.52,2.54,1.87,1.91,1.96,1.81,1.65,1.8,1.72,1.34
g_1,11.24,10.53,11.48,10.43,11.31,11.09,2.7,1.57,2.2,2.44,2.14,2.05,1.17,1.92,2.07,1.51
c_0,14.03,13.56,7.29,18.28,10.72,10.21,3.71,3.41,1.76,3.8,2.47,2.52,1.76,2.33,2.14,1.52
d_0,12.73,8.21,17.5,13.4,14.19,14.17,4.16,4.41,2.56,1.91,2.77,2.59,1.87,3.09,3.08,2.25
f_0,15.81,12.83,13.04,12.24,12.16,13.84,3.58,2.41,2.53,2.89,1.79,2.49,1.97,3.24,2.48,1.17
b_0,13.28,12.18,11.29,17.73,15.73,11.75,4.16,3.62,1.64,3.1,2.61,1.85,1.97,2.52,2.43,1.69
h_0,17.85,18.27,19.42,19.1,18.09,17.51,6.48,5.68,3.56,4.11,3.66,3.42,3.4,3.18,3.03,2.47
e_0,26.65,20.81,17.0,20.71,19.69,16.39,6.2,4.73,3.56,4.11,2.17,3.32,2.89,2.01,3.35,1.95
a_0,22.61,19.56,20.67,23.69,22.1,22.32,4.98,4.67,3.47,4.72,3.7,2.3,3.26,3.55,2.11,2.61
g_0,25.73,24.35,24.38,22.95,24.33,22.05,4.81,7.4,4.42,4.65,4.53,4.61,3.0,4.33,3.79,4.15
