,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.41,0.45,0.56,0.63,0.61,0.58,0.33,0.35,0.34,0.28,0.29,0.35,0.28,0.24,0.25,0.36
f_1,0.61,0.4,0.57,0.59,0.58,0.55,0.28,0.37,0.29,0.25,0.26,0.3,0.26,0.18,0.24,0.23
d_1,0.7,0.61,0.39,0.59,0.57,0.55,0.32,0.23,0.3,0.28,0.27,0.25,0.23,0.21,0.17,0.23
c_1,0.53,0.6,0.66,0.38,0.68,0.52,0.3,0.31,0.19,0.3,0.25,0.25,0.27,0.22,0.23,0.24
b_1,0.62,0.63,0.63,0.41,0.35,0.7,0.31,0.32,0.26,0.34,0.35,0.28,0.28,0.25,0.23,0.24
a_1,0.67,0.64,0.59,0.65,0.37,0.29,0.4,0.31,0.29,0.27,0.33,0.27,0.35,0.25,0.25,0.26
h_1,0.56,0.58,0.56,0.56,0.64,0.45,0.23,0.31,0.26,0.27,0.27,0.24,0.25,0.23,0.22,0.23
g_1,0.53,0.55,0.58,0.57,0.55,0.52,0.26,0.22,0.25,0.26,0.25,0.26,0.25,0.2,0.22,0.26
d_0,0.4,0.53,0.71,0.66,0.6,0.52,0.34,0.38,0.23,0.24,0.26,0.28,0.27,0.23,0.23,0.27
c_0,0.56,0.66,0.4,0.72,0.57,0.57,0.31,0.31,0.34,0.22,0.3,0.27,0.26,0.25,0.2,0.24
b_0,0.54,0.57,0.49,0.69,0.67,0.5,0.3,0.32,0.27,0.18,0.21,0.26,0.29,0.22,0.21,0.27
f_0,0.49,0.7,0.6,0.57,0.58,0.54,0.31,0.23,0.25,0.24,0.25,0.2,0.25,0.23,0.15,0.29
a_0,0.58,0.58,0.56,0.56,0.64,0.56,0.29,0.33,0.27,0.23,0.18,0.26,0.19,0.2,0.21,0.26
h_0,0.55,0.63,0.56,0.56,0.55,0.48,0.33,0.31,0.27,0.24,0.24,0.23,0.26,0.24,0.22,0.24
g_0,0.56,0.54,0.63,0.55,0.58,0.54,0.26,0.31,0.25,0.27,0.25,0.27,0.22,0.18,0.23,0.22
e_0,0.54,0.72,0.63,0.56,0.54,0.48,0.29,0.26,0.23,0.28,0.25,0.16,0.24,0.21,0.2,0.18
