,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,105.88,73.64,63.04,98.33,150.74,440.81,10940.17,15533.03,17111.76,35075.19,33503.9,51814.24,110449.67,118386.93,189872.14,193729.24
f_1,57.82,111.69,99.7,118.03,129.56,351.69,9431.57,15815.65,20022.76,20636.64,25885.6,32230.35,99526.98,95358.0,205247.75,118569.56
e_1,57.8,61.14,112.58,134.46,157.38,427.69,11062.42,16331.3,31729.45,22975.1,31101.73,48962.73,96662.66,101403.91,187885.05,141799.51
c_1,54.0,51.55,50.34,176.8,194.43,297.23,8606.41,14242.52,13419.43,11300.14,16808.52,43950.62,92262.24,80255.94,150615.09,137243.25
b_1,48.41,53.61,50.45,81.69,212.21,548.74,7029.3,10533.66,14972.11,16639.95,17412.88,37210.43,77014.32,71832.58,159011.63,137287.49
a_1,36.27,37.86,34.58,71.2,68.28,505.83,6499.93,9751.42,11328.98,12117.3,17250.13,25802.28,64587.57,51701.27,118975.46,106097.18
h_1,15.65,20.62,15.93,29.92,32.81,84.99,3511.46,4900.03,4295.73,4979.45,5720.65,10071.22,22139.41,23826.0,53320.89,42390.06
g_1,17.54,13.7,12.66,23.74,30.27,72.54,1920.54,5052.79,3884.94,4887.76,5774.07,13199.13,19799.27,19889.94,30376.01,43277.06
d_0,10.53,13.77,11.63,40.54,29.39,72.22,2241.86,3157.55,5126.67,3681.96,5775.46,7979.14,21409.02,17171.72,36118.96,38463.13
c_0,11.69,15.14,12.63,21.69,24.6,81.38,2398.08,3159.63,4423.59,5528.76,9176.01,9254.4,22988.71,23349.49,36319.41,42965.39
b_0,12.25,13.62,11.53,23.93,19.26,68.36,2144.52,2868.36,3403.13,3258.35,6716.13,8454.44,19487.59,28536.66,38603.72,29753.23
f_0,10.22,9.66,9.29,17.02,21.22,70.24,1695.02,2214.01,3263.75,3673.31,4683.75,10193.39,15749.73,17137.36,27628.17,52729.56
h_0,8.56,10.94,8.7,13.61,16.69,46.01,976.15,2401.72,2328.22,2503.06,3748.05,6065.35,12044.97,12704.35,29819.96,19238.65
a_0,7.59,9.27,7.91,15.05,17.43,31.49,1357.79,2018.74,2772.17,2743.93,3386.16,5230.44,13876.84,17938.63,23855.62,19737.98
g_0,8.4,6.37,6.41,12.05,14.07,39.32,932.37,1466.12,1864.91,2370.58,3051.94,6813.39,9994.14,11022.91,18300.32,20221.05
e_0,6.75,8.25,6.18,11.61,15.58,39.8,1095.24,1588.98,1803.72,1931.68,3310.22,4048.96,12099.46,10877.11,17698.46,26300.09
