,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.06,2.51,1.98,1.71,2.04,1.82,0.63,0.7,0.67,0.81,0.54,0.79,0.36,0.47,0.47,0.54
e_1,1.43,1.06,2.83,2.06,2.18,2.24,0.9,0.81,0.6,0.86,0.69,0.74,0.58,0.99,0.61,0.53
c_1,2.67,1.89,1.06,2.81,2.74,2.21,1.07,0.46,0.97,0.72,0.58,0.6,0.54,0.62,0.53,0.49
d_1,2.83,2.63,2.58,1.06,2.31,1.9,0.81,1.24,0.79,0.62,0.75,0.62,0.61,0.48,0.59,0.35
b_1,3.05,3.51,1.56,2.79,1.07,2.68,1.01,0.87,0.88,1.02,1.46,0.8,0.71,0.63,0.68,0.6
a_1,4.13,3.45,3.55,4.45,1.85,1.07,1.54,1.34,1.12,1.39,1.65,1.05,0.77,1.02,4.61,0.79
h_1,6.54,6.53,5.69,6.2,6.03,4.25,1.35,2.05,1.6,2.59,1.56,1.69,1.97,1.49,1.8,1.52
d_0,7.0,4.34,8.25,9.35,7.63,4.98,2.64,1.52,2.14,2.6,2.11,1.94,1.48,1.67,1.41,1.64
c_0,8.15,7.66,13.27,4.58,7.51,5.56,2.87,2.52,1.53,2.7,2.49,2.31,1.54,1.83,1.84,1.48
g_1,8.06,7.37,8.29,8.12,7.72,5.2,2.16,2.27,2.21,1.36,2.11,2.1,1.38,2.13,2.33,1.36
b_0,8.88,6.91,12.33,7.22,14.0,5.8,3.08,2.46,1.46,2.93,1.5,2.06,1.74,2.31,2.33,1.59
f_0,13.04,8.98,8.46,8.18,8.06,6.19,3.28,2.55,2.31,2.11,2.54,1.54,2.11,2.41,2.33,1.25
h_0,12.15,8.5,10.02,8.16,8.58,8.89,4.88,3.14,2.83,3.6,2.68,2.67,2.76,2.38,2.14,2.51
e_0,17.36,13.41,10.35,12.17,10.23,9.26,4.01,3.04,3.64,3.41,2.99,1.94,2.92,1.67,2.85,2.43
a_0,13.62,10.34,13.92,11.08,15.21,,3.96,4.1,3.01,4.11,1.77,2.82,2.86,2.89,1.63,2.18
g_0,11.9,12.55,14.36,12.86,11.88,10.96,3.59,3.68,3.4,8.07,3.64,3.74,2.09,2.59,3.05,3.28
