,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.11,0.79,0.93,0.71,0.5,0.55,0.37,0.36,0.38,0.41,0.35,0.32,0.32,0.37
f_1,1.24,1.0,0.95,0.87,0.81,0.57,0.36,0.43,0.34,0.31,0.34,0.28,0.27,0.33,0.24,0.3
c_1,0.89,1.07,1.0,1.22,1.21,0.72,0.5,0.32,0.35,0.3,0.36,0.32,0.31,0.28,0.36,0.3
d_1,1.26,1.15,0.82,1.0,0.88,0.79,0.54,0.49,0.58,0.5,0.38,0.39,0.37,0.36,0.33,0.27
b_1,1.08,1.24,0.83,1.14,1.0,1.28,0.56,0.56,0.47,0.5,0.41,0.47,0.42,0.38,0.35,0.3
a_1,1.41,1.76,1.38,1.26,0.79,1.0,0.7,0.69,0.7,0.66,0.55,0.49,0.55,0.49,0.49,0.46
h_1,2.02,2.82,1.99,1.83,1.83,1.41,1.0,0.8,0.86,0.76,0.82,0.78,0.64,0.63,0.69,0.7
d_0,1.78,2.21,3.1,2.07,1.94,1.54,1.22,1.0,0.78,0.86,1.0,0.78,0.8,0.7,0.81,0.78
c_0,2.9,2.74,2.78,1.72,1.99,1.5,1.15,1.21,1.0,1.16,0.92,0.9,0.83,0.83,0.8,0.66
b_0,2.77,3.19,3.26,2.06,1.94,1.47,1.25,1.18,0.87,1.0,1.0,0.9,0.89,1.27,0.86,0.87
g_1,2.75,2.93,2.66,2.72,2.4,1.9,1.25,0.98,1.02,1.01,1.0,1.07,0.69,0.78,0.75,0.82
f_0,2.4,3.39,3.27,2.69,2.24,1.92,1.36,1.24,1.09,1.07,1.0,1.0,1.0,0.87,1.36,0.69
h_0,2.83,3.77,2.98,2.71,2.38,1.78,1.56,1.22,1.15,1.17,1.53,0.98,1.0,0.96,0.9,1.02
a_0,3.24,3.02,3.58,2.75,2.68,1.98,1.72,1.49,1.09,0.78,1.3,1.15,1.04,1.0,0.96,0.98
e_0,3.02,3.93,2.86,3.21,2.74,1.98,1.39,1.28,1.23,1.19,1.36,0.75,1.16,1.09,1.0,0.89
g_0,2.85,3.24,3.46,3.83,3.0,2.11,1.48,1.23,1.36,1.09,1.19,1.46,0.98,1.0,1.08,1.0
