,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.44,48.92,23.33,29.3,28.66,37.33,8.17,6.78,6.97,14.74,8.11,5.71,3.49,5.15,,9.08
d_1,55.62,0.44,34.01,43.98,29.12,46.17,11.68,,6.22,5.63,6.81,5.09,6.24,2.15,8.05,5.24
f_1,34.94,33.33,0.44,38.44,30.62,28.26,9.22,5.91,5.64,9.13,7.45,,2.88,9.12,9.07,6.59
c_1,33.82,32.28,32.74,0.43,42.58,34.75,8.9,3.19,,9.8,8.54,9.14,5.72,4.69,7.51,6.54
b_1,32.76,47.47,46.95,20.68,0.4,,9.87,8.19,7.99,9.0,,5.78,6.4,4.46,6.54,9.52
a_1,71.69,65.51,35.99,50.47,,0.33,13.17,7.87,7.99,,13.0,10.2,6.42,5.44,,
h_1,18.74,18.88,19.84,12.53,21.17,13.44,0.37,4.94,5.97,5.8,2.45,3.23,,2.18,3.54,3.25
d_0,9.19,,18.07,14.26,17.22,12.71,3.53,0.5,3.36,4.44,4.37,2.4,2.02,1.99,3.4,2.81
c_0,18.43,7.8,15.43,,15.87,13.05,3.98,3.61,0.52,4.06,2.92,2.81,1.89,3.38,2.52,2.78
g_1,18.17,21.08,24.47,26.45,16.18,,3.52,5.18,5.85,0.33,5.15,5.54,1.81,,3.51,
b_0,27.68,15.06,16.24,22.04,,19.15,4.09,3.1,1.49,4.47,0.45,3.67,2.93,3.57,3.34,3.26
f_0,16.99,17.19,,15.25,18.49,16.2,5.41,4.49,2.8,2.45,3.17,0.49,2.29,1.6,4.15,3.55
h_0,10.69,10.46,11.38,15.5,11.17,15.31,,2.56,2.57,4.37,3.17,2.66,,2.2,1.93,1.48
g_0,10.07,16.31,14.98,16.55,19.42,17.12,3.2,3.03,2.67,,2.7,2.87,1.5,,2.22,3.14
e_0,,18.39,19.92,14.74,29.06,,6.0,7.69,3.93,5.73,3.46,2.44,3.5,2.62,0.37,
a_0,29.59,20.28,16.04,23.28,25.72,,6.12,3.25,5.65,,2.11,5.26,3.36,3.56,,0.4
