,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.9,1.23,1.0,0.99,0.74,0.62,0.55,0.64,0.67,0.6,0.62,0.56,0.57,0.52,0.6
d_1,1.11,1.0,0.92,0.9,0.89,0.84,0.79,0.58,0.87,0.82,0.61,0.69,0.57,0.6,0.53,0.54
e_1,0.81,1.09,1.0,1.01,0.95,0.76,0.73,0.77,0.69,0.91,0.6,0.66,0.62,0.51,0.64,0.48
c_1,1.0,1.11,0.99,1.0,1.2,1.08,0.68,0.65,0.64,0.5,0.52,0.62,0.56,0.57,0.59,0.6
b_1,1.01,1.12,1.05,0.83,1.0,1.3,0.76,0.69,0.63,0.68,0.72,0.58,0.68,0.53,0.57,0.63
a_1,1.35,1.19,1.31,0.93,0.77,1.0,0.89,0.82,0.69,0.7,1.01,0.64,0.68,0.76,0.67,0.46
h_1,1.68,1.3,1.36,1.48,1.28,1.16,1.0,1.07,0.96,0.86,0.9,0.82,0.74,0.74,0.88,0.79
g_1,1.81,1.74,1.24,1.55,1.42,1.18,0.93,1.0,0.89,0.74,0.89,1.02,0.82,0.88,0.7,0.74
c_0,1.68,1.16,1.37,1.52,1.56,1.5,1.08,1.12,1.0,1.05,1.38,1.03,0.93,0.92,0.81,0.89
d_0,1.5,1.27,1.05,2.03,1.49,1.45,1.2,1.43,0.87,1.0,1.06,1.02,0.95,0.85,0.9,1.09
b_0,1.64,1.61,1.55,2.12,1.48,1.11,1.14,1.05,0.68,0.93,1.0,0.94,1.01,1.5,0.98,0.94
f_0,1.49,1.51,1.46,1.63,1.71,1.68,1.2,0.96,0.98,0.97,1.02,1.0,0.98,0.82,0.84,1.3
h_0,1.81,1.71,1.57,1.8,1.49,1.49,1.3,1.26,1.02,1.11,0.97,0.98,1.0,0.88,1.22,0.91
a_0,1.96,1.72,1.81,1.88,1.77,1.2,1.25,1.15,1.07,1.3,0.69,1.18,1.18,1.0,1.1,0.89
g_0,1.92,1.9,1.55,1.78,1.65,1.43,1.12,1.36,1.2,1.18,1.03,1.2,0.83,0.92,1.0,0.97
e_0,1.7,1.83,2.3,1.64,1.43,2.0,1.35,1.41,1.09,0.94,1.07,0.79,1.14,1.24,1.03,1.0
