,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.87,1.38,2.57,1.66,1.37,1.39,5.23,4.17,7.37,7.64,6.64,3.52,11.21,6.91,8.95,5.17
d_1,1.57,6.17,1.42,1.15,1.57,1.49,6.08,6.1,12.95,3.65,9.46,8.95,10.77,8.39,13.35,8.62
e_1,1.78,1.42,6.19,1.78,1.39,1.36,5.33,5.91,6.85,13.33,7.61,8.24,12.76,7.18,10.56,3.62
c_1,1.46,1.47,1.38,7.02,2.87,1.46,5.07,4.73,3.1,6.58,4.89,6.71,9.0,6.15,10.59,7.82
b_1,1.46,1.52,1.31,1.65,7.53,2.97,5.57,5.4,5.33,6.7,3.05,6.39,9.49,5.68,9.92,8.46
a_1,1.8,1.81,1.67,1.33,1.34,9.68,5.83,6.19,6.36,6.95,8.92,6.43,11.9,4.3,10.44,5.93
h_1,2.57,1.97,1.75,1.78,1.71,1.75,16.0,8.39,9.04,7.38,9.15,8.88,8.17,8.84,16.0,8.91
g_1,1.77,2.75,1.57,1.7,1.88,1.6,6.87,19.6,9.08,6.74,9.55,13.44,15.03,9.65,8.68,10.64
c_0,2.04,2.25,1.72,1.39,1.4,1.88,6.99,8.22,16.55,8.15,19.66,9.81,14.51,10.1,13.03,11.04
d_0,1.86,0.9,1.7,3.87,1.87,1.82,6.34,8.48,6.09,16.78,10.07,9.53,12.64,8.68,13.86,9.57
b_0,1.94,2.45,1.65,2.23,0.82,1.21,7.18,7.83,8.89,9.84,20.07,9.83,15.74,22.5,14.83,11.05
f_0,1.3,2.18,1.65,1.98,1.78,2.08,7.19,8.28,8.46,9.45,9.83,20.56,14.88,10.64,15.3,23.54
h_0,2.29,1.94,1.89,1.94,1.78,1.88,4.45,9.15,9.06,9.6,10.42,8.44,8.24,9.6,18.3,9.27
a_0,1.95,1.89,1.81,2.18,1.68,0.93,7.37,7.66,9.01,10.6,8.8,10.89,18.26,26.33,15.99,13.38
g_0,1.71,2.72,1.54,1.99,1.76,1.67,7.06,5.4,10.1,9.06,8.6,14.16,13.41,10.49,9.42,11.95
e_0,1.88,2.3,1.22,2.03,1.91,2.07,7.67,7.36,8.64,8.33,10.02,9.6,14.48,10.45,13.82,27.93
