,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,5.76,0.13,0.09,0.09,0.08,0.07,0.26,0.3,0.37,0.37,0.45,,0.27,0.57,0.59,0.27
e_1,0.09,5.78,0.07,0.05,0.07,0.07,0.28,0.24,0.78,0.4,0.39,0.45,0.41,0.48,0.45,
d_1,0.07,0.06,6.09,0.08,0.07,0.07,0.3,0.25,,0.72,0.43,0.42,0.3,0.79,0.45,0.52
c_1,0.07,0.09,0.08,6.47,0.16,0.08,0.24,0.33,0.31,,0.36,0.34,0.46,0.68,0.64,0.3
b_1,0.06,0.07,0.08,0.08,7.58,0.16,0.33,0.24,0.36,0.27,,0.5,0.39,0.73,0.62,0.32
a_1,0.09,0.08,0.1,0.06,0.06,10.0,0.42,0.37,0.34,0.39,0.33,0.33,,0.55,0.46,
h_1,0.4,0.26,0.27,0.34,0.23,0.22,14.6,1.33,1.97,1.49,1.41,1.56,0.97,,3.21,1.16
g_1,0.27,0.29,0.61,0.32,0.28,0.2,1.2,17.65,0.81,1.53,1.07,1.81,0.92,2.2,,
d_0,0.3,0.37,,0.73,0.34,0.41,1.79,1.41,11.99,2.28,1.71,2.42,2.0,3.08,2.7,1.92
c_0,0.44,0.43,0.35,,0.35,0.29,1.54,1.69,2.0,12.71,3.91,1.6,2.02,2.84,2.39,
b_0,0.39,0.38,0.35,0.39,,0.41,1.67,1.26,2.24,1.46,14.31,1.5,3.44,3.18,3.28,2.1
f_0,,0.37,0.3,0.46,0.5,0.45,1.56,1.45,2.12,1.98,1.58,15.69,1.4,3.07,2.86,4.84
a_0,0.36,0.32,0.35,0.21,0.29,,1.52,1.59,2.09,1.76,1.93,2.1,20.52,3.8,3.12,1.91
h_0,1.0,0.46,0.44,0.64,0.65,0.36,,3.12,2.03,2.22,2.56,3.54,3.39,,6.32,3.35
g_0,0.49,0.61,0.9,0.52,0.54,0.63,2.32,,3.49,2.73,2.1,4.37,2.08,3.34,,2.93
e_0,0.43,,0.35,0.43,0.43,0.39,1.34,,2.26,2.74,2.37,,,2.64,2.7,25.97
