,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.65,1.3,0.95,1.85,1.44,1.37,0.74,0.67,0.54,0.6,0.65,0.58,0.47,0.49,0.87,0.47
d_1,1.74,0.65,1.3,1.43,1.57,1.25,0.61,0.4,0.57,0.99,0.47,0.42,0.42,0.45,0.44,0.29
f_1,1.51,1.49,0.65,1.34,1.4,1.23,0.52,0.72,0.47,0.53,0.64,0.47,0.31,0.45,0.38,0.49
c_1,1.15,1.72,1.67,0.64,1.74,1.14,0.6,0.94,0.76,0.33,0.57,0.47,0.43,0.5,0.5,0.39
b_1,1.64,1.53,1.72,0.91,0.63,1.68,0.74,0.71,0.62,0.53,0.54,0.85,0.52,0.57,0.67,0.46
a_1,1.8,1.8,2.24,2.03,0.94,0.58,0.91,0.84,0.69,0.86,0.7,1.07,0.5,1.25,0.55,0.53
h_1,1.92,2.04,2.26,2.25,2.23,2.15,0.59,0.95,0.73,0.72,0.74,0.78,1.06,0.64,0.66,0.7
g_1,2.39,2.63,2.03,2.37,2.28,2.12,0.93,0.56,0.86,0.96,0.82,0.84,0.49,0.79,0.78,0.94
c_0,2.37,1.46,2.57,3.4,3.1,2.51,1.1,0.93,0.61,1.34,0.81,1.03,0.72,0.97,0.9,0.77
d_0,1.48,3.95,2.46,2.84,2.41,1.94,1.25,1.24,0.86,0.61,0.88,0.99,0.71,0.94,0.89,0.83
f_0,2.25,2.23,4.44,2.32,2.65,2.28,1.19,0.85,0.89,1.05,0.59,0.87,0.79,0.83,1.13,0.56
b_0,2.35,2.48,2.8,3.59,4.1,1.93,1.1,1.05,0.57,0.86,0.8,0.59,0.88,1.06,0.84,0.64
h_0,2.59,2.79,3.54,2.71,2.25,2.59,1.38,1.53,1.11,0.99,0.92,0.87,0.98,0.95,0.84,0.88
a_0,3.31,2.42,2.79,3.04,3.36,3.61,1.32,1.35,0.89,1.08,1.02,0.59,0.81,0.57,1.03,0.89
e_0,3.68,2.66,4.19,2.69,2.65,2.3,1.25,1.16,1.04,1.07,0.53,1.02,0.92,1.01,0.58,0.81
g_0,3.05,3.07,2.85,2.6,2.81,3.02,1.05,1.67,1.03,1.14,1.08,1.13,0.67,0.92,1.06,1.16
