,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.05,1.23,1.72,1.77,1.61,1.35,0.72,0.64,0.52,0.59,0.5,0.59,0.49,0.42,0.59,0.43
f_1,1.89,1.05,1.63,1.74,1.55,1.36,0.48,0.65,0.46,0.52,0.48,0.47,0.44,0.29,0.3,0.36
d_1,1.86,1.85,1.05,1.47,1.63,1.42,0.62,0.5,0.57,0.66,0.5,0.47,0.42,0.35,0.47,0.27
c_1,1.65,2.0,2.51,1.05,2.14,1.57,0.77,0.68,0.62,0.36,0.56,0.54,0.52,0.4,0.54,0.42
b_1,2.17,2.24,2.03,1.38,1.06,2.24,1.05,0.91,0.71,0.68,0.74,0.62,0.54,0.5,0.58,0.46
a_1,3.0,3.05,2.97,2.66,1.52,1.06,1.18,1.19,1.03,1.02,1.03,0.83,0.99,0.86,0.68,0.7
h_1,4.48,5.31,4.43,4.49,3.62,3.33,1.26,1.79,1.33,1.46,1.13,1.13,1.07,1.12,1.05,0.95
g_1,5.07,5.34,5.19,5.42,4.53,3.87,1.6,1.29,1.51,1.53,1.41,1.66,1.31,0.96,1.46,1.24
c_0,6.17,6.72,3.96,8.51,5.55,4.37,2.24,2.08,1.39,2.41,2.03,1.59,1.47,1.35,1.65,1.2
d_0,4.05,6.06,6.69,7.1,6.06,4.78,2.58,2.21,1.87,1.43,1.85,1.65,1.74,1.39,1.79,1.56
b_0,5.98,6.82,6.04,7.4,7.77,4.6,2.67,2.32,1.22,1.84,1.42,1.5,1.92,1.49,1.56,1.24
f_0,6.29,9.48,6.9,6.51,6.13,5.79,2.65,1.93,1.93,2.11,2.15,1.46,1.78,1.74,2.62,1.11
a_0,7.73,8.22,7.47,8.4,9.55,7.36,3.26,3.03,2.19,2.34,1.38,2.03,1.52,1.61,1.98,1.26
h_0,7.88,9.61,8.45,8.66,7.78,5.91,3.85,2.96,2.35,2.33,2.07,2.02,1.99,2.23,1.9,1.81
e_0,9.51,14.13,8.23,8.88,9.07,7.63,3.82,2.78,2.54,2.82,2.51,1.3,2.16,1.91,1.48,1.71
g_0,9.97,10.82,9.84,9.18,9.38,7.85,3.25,3.94,2.87,2.8,2.73,2.75,2.84,1.84,2.35,2.21
