,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.56,0.65,1.12,0.65,0.54,0.5,2.04,1.86,2.79,2.83,2.31,0.62,3.95,2.39,2.3,3.43
d_1,0.6,5.97,0.53,0.53,0.55,0.6,2.15,2.25,5.56,0.6,3.95,2.87,4.45,2.97,3.32,4.1
e_1,0.73,0.45,6.04,0.61,0.56,0.49,2.08,2.16,2.78,5.76,3.67,2.66,4.27,2.87,0.93,4.72
c_1,0.58,0.5,0.52,6.88,1.24,0.62,1.93,2.03,0.56,3.0,2.64,3.33,3.97,2.43,3.23,5.36
b_1,0.53,0.59,0.58,0.52,7.73,1.26,2.38,1.62,2.59,3.49,0.36,3.6,4.47,3.43,2.78,4.42
a_1,0.55,0.73,0.59,0.63,0.49,10.75,2.13,2.55,3.01,2.54,3.05,3.26,5.46,0.75,2.63,3.25
h_1,1.46,1.16,0.92,1.25,0.76,0.65,15.6,5.07,4.34,4.1,4.27,5.31,2.83,4.35,5.56,9.37
g_1,0.9,1.75,0.93,0.98,0.99,0.84,3.91,18.15,3.61,3.16,4.83,7.03,5.98,5.46,4.2,2.95
c_0,1.36,1.28,0.99,0.41,0.85,1.14,3.77,4.12,14.0,3.86,9.18,5.37,8.7,6.28,5.38,7.94
d_0,1.14,0.29,1.06,2.33,1.03,1.03,3.81,3.27,3.22,14.16,4.52,6.37,7.03,4.97,5.68,5.72
b_0,1.34,1.01,1.19,1.06,0.46,1.07,4.33,4.23,4.91,5.0,15.75,5.71,7.78,10.68,5.05,7.52
f_0,0.51,1.4,0.82,1.36,0.82,0.95,5.02,4.75,5.58,4.55,6.38,17.67,9.63,6.32,12.68,7.94
h_0,1.62,0.97,0.83,1.0,1.28,0.9,1.57,4.74,3.77,4.63,5.4,4.87,4.2,5.01,5.56,10.24
a_0,1.37,0.92,1.21,1.03,1.04,,4.43,3.56,4.45,4.97,4.98,6.09,8.27,21.74,6.3,9.0
e_0,1.0,1.32,0.33,1.49,1.19,0.94,5.17,4.29,4.91,5.17,5.95,6.46,6.51,4.46,23.27,7.43
g_0,1.08,2.03,0.58,0.97,1.07,0.76,4.77,1.81,5.43,3.45,5.13,8.34,7.5,5.07,4.78,3.58
