,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.67,1.09,0.57,0.63,0.51,0.44,0.86,0.8,0.89,0.9,0.81,0.34,0.85,0.7,0.74,0.66
e_1,0.76,2.69,0.51,0.77,0.45,0.53,0.97,0.83,0.92,1.83,1.05,0.97,0.99,1.1,0.86,0.46
d_1,0.72,0.5,2.97,0.5,0.55,0.61,0.97,0.96,1.81,0.36,1.09,1.07,1.07,1.0,1.01,0.89
c_1,0.57,0.55,0.6,3.15,1.24,0.47,0.79,0.88,0.32,0.9,0.72,1.06,0.96,0.95,0.85,0.96
b_1,0.54,0.62,0.67,0.61,3.82,1.28,0.73,0.88,0.64,0.69,0.33,0.78,0.87,0.72,0.9,0.94
a_1,0.52,0.66,0.85,0.5,0.58,5.23,0.94,0.73,0.82,0.74,1.05,1.05,1.15,0.46,1.25,1.13
h_1,0.92,0.72,0.75,0.71,0.74,0.68,2.92,1.55,1.05,1.13,1.15,1.15,0.75,0.98,1.56,1.33
g_1,0.8,0.56,1.14,0.76,0.7,0.67,1.0,3.65,1.04,0.78,1.15,1.46,1.06,1.18,0.63,1.42
c_0,0.8,0.74,0.87,0.46,0.64,0.81,1.34,1.13,2.38,0.8,2.36,1.41,1.22,1.17,1.61,1.43
d_0,0.72,0.71,0.36,1.6,0.73,0.76,1.09,0.96,0.91,2.31,1.04,1.32,1.0,0.94,1.2,1.34
b_0,0.84,0.72,0.76,0.83,0.39,0.47,1.23,1.11,1.07,1.1,2.78,1.26,1.43,2.61,1.54,1.4
f_0,0.5,0.54,0.92,0.83,0.85,0.95,1.17,1.29,1.26,1.15,1.32,2.77,1.24,1.37,1.2,2.88
h_0,1.1,0.66,0.73,0.81,0.6,0.71,0.72,1.33,1.16,1.05,1.25,1.08,0.6,1.28,1.8,1.13
a_0,0.95,0.57,0.91,0.74,0.85,0.34,1.31,1.16,1.08,1.33,0.91,1.42,1.28,3.6,1.37,1.73
g_0,0.58,0.67,1.32,0.74,0.59,0.79,1.08,0.72,1.25,0.99,1.41,1.86,1.24,1.07,0.66,1.1
e_0,0.86,0.43,0.73,0.85,0.83,0.82,1.09,1.13,1.12,1.26,1.36,1.25,1.49,1.31,1.48,4.11
