,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.04,0.85,1.2,0.72,0.5,0.47,0.33,0.33,0.42,0.3,0.35,0.33,0.3,0.31
f_1,1.01,1.0,0.96,1.22,0.9,0.63,0.43,0.46,0.45,0.39,0.34,0.37,0.28,0.24,0.32,0.31
d_1,0.99,1.06,1.0,1.02,0.91,0.72,0.51,0.38,0.44,0.54,0.38,0.44,0.34,0.35,0.31,0.27
e_1,1.17,0.82,0.97,1.0,0.99,0.76,0.52,0.53,0.6,0.4,0.45,0.39,0.36,0.37,0.34,0.38
b_1,0.84,1.11,1.09,1.0,1.0,1.14,0.58,0.5,0.44,0.49,0.41,0.45,0.39,0.35,0.32,0.35
a_1,1.4,1.55,1.34,1.27,0.88,1.0,0.68,0.71,0.61,0.63,0.55,0.62,0.48,0.49,0.55,0.48
h_1,2.02,2.26,1.92,1.93,1.76,1.44,1.0,0.96,0.84,0.78,0.77,0.77,0.65,0.57,0.61,0.73
g_1,2.2,2.18,2.56,1.93,2.01,1.47,1.04,1.0,0.92,0.94,1.05,0.84,0.63,0.74,0.66,0.7
d_0,3.04,2.25,2.2,1.72,2.36,1.62,1.18,1.07,1.0,0.75,1.0,0.79,0.75,0.79,0.79,0.79
c_0,3.03,2.5,1.93,2.42,1.91,1.61,1.28,1.09,1.26,1.0,0.93,1.26,0.84,0.86,0.9,0.76
f_0,2.53,2.91,2.66,2.18,2.35,1.85,1.3,0.99,1.08,1.08,1.0,1.04,0.86,1.19,0.92,0.71
b_0,3.22,2.71,2.23,2.59,2.22,1.63,1.31,1.14,1.21,0.83,0.92,1.0,0.91,0.84,1.18,0.81
h_0,2.92,3.37,2.89,2.78,2.53,2.1,1.47,1.59,1.32,1.17,1.2,1.11,1.0,0.95,0.99,1.01
e_0,3.08,4.07,2.83,2.86,2.84,2.15,1.65,1.31,1.22,1.1,0.88,1.15,1.07,1.0,1.0,0.91
a_0,3.18,3.09,3.2,2.91,3.04,1.97,1.57,1.52,1.28,1.11,1.02,0.86,1.01,0.99,1.0,1.02
g_0,3.3,3.11,3.55,2.69,2.91,1.99,1.34,1.44,1.29,1.33,1.42,1.19,0.98,1.11,1.02,1.0
