,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.09,1.48,2.47,2.89,2.35,2.13,0.67,0.77,0.5,0.46,0.51,0.53,0.33,0.43,0.61,0.34
f_1,2.08,1.09,2.34,2.59,2.37,2.24,0.52,0.73,0.53,0.48,0.49,0.59,0.25,0.48,0.45,0.35
d_1,3.12,2.91,1.08,2.4,2.29,2.28,0.67,0.49,0.71,0.49,0.45,0.47,0.41,0.48,0.44,0.24
c_1,2.05,2.75,2.93,1.09,2.68,2.24,0.76,0.7,0.31,0.65,0.52,0.49,0.38,0.46,0.49,0.37
b_1,3.15,3.39,3.0,1.69,1.1,2.85,0.82,0.93,0.65,0.8,0.94,0.63,0.5,0.58,0.66,0.45
a_1,4.63,5.0,4.6,3.83,2.28,1.12,1.21,1.27,1.0,0.99,1.5,1.04,0.68,1.33,0.8,0.55
h_1,9.9,10.94,10.02,10.19,10.46,8.2,1.59,3.67,2.18,2.08,2.07,2.18,1.84,2.02,1.7,1.32
g_1,10.59,11.99,10.24,12.45,11.98,8.98,2.31,1.56,2.35,2.14,2.07,2.16,1.3,2.11,2.0,1.65
d_0,7.44,9.75,17.71,12.45,12.19,11.04,3.52,4.12,1.87,2.5,2.67,2.82,1.89,2.51,2.58,1.73
c_0,15.34,12.41,8.08,18.13,13.5,12.83,3.49,3.54,4.18,1.87,2.64,2.75,1.97,2.78,2.63,1.57
b_0,14.05,12.97,11.54,20.0,16.92,12.27,3.61,3.38,2.81,1.8,1.85,2.7,1.91,2.82,2.45,1.73
f_0,13.48,18.05,14.94,15.42,12.84,10.4,3.85,2.57,3.11,2.63,2.58,1.92,1.88,3.15,2.86,1.4
h_0,15.81,17.25,15.86,20.25,16.53,15.08,5.97,4.69,3.96,3.39,3.37,3.16,3.14,3.61,3.54,2.14
a_0,18.26,17.77,17.9,20.25,20.84,23.81,5.69,4.99,3.84,3.4,2.32,3.85,2.41,2.11,3.69,2.51
e_0,23.26,33.03,19.46,23.4,22.65,17.18,5.21,4.29,4.29,3.81,3.99,2.28,3.25,4.22,2.09,2.26
g_0,22.82,22.59,24.08,25.0,25.91,21.96,5.56,6.64,5.07,4.63,4.53,4.58,2.81,5.09,4.53,4.98
