,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.99,1.54,1.45,1.56,3.03,19.36,28.64,42.85,30.94,32.94,48.69,81.28,78.4,85.71,116.43
f_1,1.01,1.0,1.15,1.05,1.25,1.9,11.83,23.99,24.93,27.72,28.33,33.45,58.89,56.67,66.28,94.52
c_1,0.65,0.87,1.0,1.08,1.79,2.01,17.06,22.92,17.51,21.13,21.39,38.51,59.23,61.22,70.76,93.34
d_1,0.69,0.96,0.92,1.0,1.28,1.92,15.21,18.71,29.72,25.23,33.72,34.94,52.67,53.23,74.41,58.07
b_1,0.65,0.8,0.56,0.78,1.0,2.5,11.86,16.7,16.3,18.88,24.71,24.47,40.8,56.2,58.99,82.93
a_1,0.33,0.52,0.5,0.52,0.4,1.0,9.84,12.51,11.86,13.07,12.06,18.53,37.61,34.76,36.93,42.04
h_1,0.05,0.08,0.06,0.06,0.09,0.1,1.0,1.71,1.58,1.55,1.77,2.13,3.94,4.38,5.53,7.59
g_1,0.04,0.04,0.04,0.05,0.06,0.08,0.57,1.0,1.03,1.09,1.08,2.01,2.43,2.25,3.64,4.32
d_0,0.02,0.04,0.06,0.03,0.06,0.08,0.61,0.96,1.0,1.16,0.91,1.58,2.55,3.0,3.43,3.63
b_0,0.03,0.04,0.05,0.04,0.05,0.08,0.63,0.92,0.85,1.0,0.87,1.55,3.5,2.69,2.94,3.14
c_0,0.03,0.04,0.05,0.03,0.04,0.08,0.56,0.86,1.09,1.18,1.0,1.39,2.3,2.56,3.03,3.15
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.45,0.5,0.66,0.65,0.71,0.99,1.82,1.87,2.88,1.79
a_0,0.01,0.02,0.02,0.02,0.03,0.03,0.24,0.41,0.42,0.3,0.4,0.54,1.0,1.23,1.11,1.47
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.23,0.44,0.33,0.37,0.4,0.57,0.85,1.0,0.92,1.52
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.17,0.26,0.31,0.36,0.34,0.37,0.95,1.07,1.0,1.28
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.13,0.24,0.28,0.32,0.31,0.53,0.68,0.65,0.8,1.0
