,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.43,1.0,1.34,1.77,3.99,11.66,29.92,29.69,27.59,52.81,,56.89,94.0,108.89,118.51
e_1,0.7,1.0,1.09,1.52,1.71,3.28,16.45,32.82,36.2,30.24,37.97,55.25,62.68,78.91,112.82,
d_1,1.0,0.91,1.0,1.07,1.51,3.78,13.16,,17.33,34.85,38.34,36.6,74.12,74.01,63.47,78.46
c_1,0.75,0.66,0.93,1.0,1.62,3.34,11.38,16.34,31.22,,29.82,48.44,68.27,70.33,61.07,
b_1,0.57,0.58,0.66,0.62,1.0,,9.56,20.16,18.5,17.78,,30.47,37.73,,58.29,59.53
a_1,0.25,0.3,0.26,0.3,,1.0,4.02,9.94,9.43,9.41,11.86,13.1,24.02,,23.32,
h_1,0.09,0.06,0.08,0.09,0.1,0.25,1.0,1.79,2.15,1.96,2.29,2.76,,5.72,8.41,5.98
d_0,0.03,0.03,,0.06,0.05,0.1,0.56,1.0,1.17,1.14,1.22,1.5,3.21,2.33,3.69,2.82
g_1,0.03,0.03,0.06,0.03,0.05,0.11,0.46,0.85,1.0,0.98,1.68,2.61,2.2,,,
c_0,0.04,0.03,0.03,,0.06,0.11,0.51,0.88,1.02,1.0,2.14,1.49,2.42,3.02,3.16,3.72
b_0,0.02,0.03,0.03,0.03,,0.08,0.44,0.82,0.6,0.47,1.0,1.14,1.59,2.85,2.43,2.1
f_0,,0.02,0.03,0.02,0.03,0.08,0.36,0.67,0.38,0.67,0.88,1.0,1.98,1.58,1.26,2.57
h_0,0.02,0.02,0.01,0.01,0.03,0.04,,0.31,0.46,0.41,0.63,0.5,,0.94,1.63,1.3
a_0,0.01,0.01,0.01,0.01,,,0.17,0.43,,0.33,0.35,0.63,1.06,1.0,1.44,
g_0,0.01,0.01,0.02,0.02,0.02,0.04,0.12,0.27,,0.32,0.41,0.8,0.61,0.7,,
e_0,0.01,,0.01,,0.02,,0.17,0.36,,0.27,0.48,0.39,0.77,,,1.0
