,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.45,0.66,0.74,0.73,0.77,0.39,0.35,0.42,0.31,0.29,0.41,0.26,0.33,0.3,0.41
f_1,0.74,0.4,0.6,0.69,0.65,0.61,0.27,0.33,0.41,0.28,0.3,0.35,0.21,0.27,0.28,0.25
d_1,0.76,0.73,0.39,0.66,0.63,0.59,0.34,0.43,0.26,0.35,0.36,0.27,0.26,0.28,0.18,0.27
c_1,0.59,0.68,0.78,0.39,0.77,0.61,0.38,0.2,0.33,0.31,0.27,0.26,0.24,0.31,0.26,0.29
b_1,0.66,0.77,0.7,0.45,0.37,0.69,0.42,0.3,0.37,0.34,0.35,0.32,0.24,0.33,0.26,0.31
a_1,0.59,0.82,0.73,0.67,0.43,0.31,0.43,0.33,0.43,0.32,0.48,0.32,0.33,0.55,0.27,0.33
h_1,0.56,0.77,0.61,0.62,0.59,0.59,0.23,0.33,0.36,0.3,0.25,0.27,0.3,0.25,0.3,0.25
d_0,0.44,0.6,0.73,0.78,0.66,0.62,0.32,0.24,0.36,0.25,0.29,0.31,0.29,0.28,0.32,0.31
g_1,0.59,0.64,0.68,0.68,0.65,0.56,0.27,0.3,0.21,0.26,0.25,0.3,0.19,0.26,0.28,0.27
c_0,0.62,0.67,0.44,0.91,0.63,0.58,0.34,0.38,0.34,0.23,0.38,0.29,0.26,0.28,0.26,0.3
b_0,0.61,0.63,0.55,0.85,0.75,0.55,0.37,0.3,0.33,0.17,0.21,0.28,0.26,0.3,0.25,0.26
f_0,0.57,0.81,0.66,0.66,0.59,0.59,0.33,0.3,0.23,0.26,0.26,0.21,0.23,0.24,0.18,0.32
h_0,0.65,0.7,0.57,0.63,0.63,0.57,0.39,0.27,0.35,0.25,0.25,0.27,0.27,0.25,0.26,0.27
a_0,0.61,0.65,0.61,0.73,0.79,0.59,0.32,0.33,0.32,0.24,0.18,0.26,0.27,0.19,0.27,0.27
g_0,0.61,0.66,0.67,0.62,0.65,0.58,0.23,0.29,0.33,0.28,0.28,0.28,0.21,0.22,0.25,0.26
e_0,0.73,0.97,0.57,0.62,0.56,0.56,0.35,0.31,0.34,0.28,0.34,0.15,0.24,0.27,0.22,0.18
