,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.43,2.4,1.54,1.78,1.51,1.4,2.9,3.13,3.05,3.78,3.54,2.7,4.01,3.6,3.01,4.53
e_1,1.5,2.46,1.53,2.14,1.67,1.71,3.09,3.37,3.16,5.43,3.96,3.91,4.86,3.85,3.41,4.83
d_1,1.73,1.56,2.57,1.44,1.65,1.59,3.45,3.29,5.18,3.06,3.97,3.79,4.6,4.34,4.03,4.84
c_1,1.65,1.41,1.74,2.64,2.64,1.75,3.09,3.21,2.85,3.0,2.58,3.57,4.17,3.73,3.65,4.11
b_1,1.72,1.59,1.6,1.45,2.77,3.05,3.32,3.14,3.58,3.57,3.03,3.6,4.47,3.25,4.25,4.03
a_1,1.98,1.63,1.77,1.79,1.39,3.32,3.49,3.31,3.8,4.02,4.14,3.82,5.19,3.12,4.29,3.93
h_1,2.17,1.77,1.77,1.58,1.67,1.66,4.35,3.67,3.52,3.47,3.55,3.55,4.27,3.51,3.78,5.89
g_1,1.75,1.51,2.17,1.66,1.79,1.61,3.2,4.78,3.88,2.97,4.27,5.03,4.81,4.11,4.18,4.36
c_0,1.9,1.82,1.59,1.62,1.46,1.61,3.51,3.31,4.62,4.46,5.74,3.77,5.01,4.62,4.42,5.34
d_0,1.75,1.53,1.45,2.61,1.8,1.64,3.23,3.68,2.51,4.45,3.64,3.62,5.07,3.91,4.12,4.83
b_0,1.86,1.55,1.7,1.95,1.7,1.54,3.5,3.12,3.46,3.52,4.82,3.52,5.3,6.38,4.52,5.04
f_0,1.92,1.51,1.79,1.77,1.55,1.92,3.73,3.11,4.16,3.7,4.31,5.15,5.04,4.24,6.98,4.98
h_0,2.1,1.72,1.78,1.87,1.59,1.4,2.94,3.8,3.62,3.65,3.52,3.72,4.08,3.94,4.39,5.8
a_0,1.86,1.65,1.55,1.82,1.88,1.63,3.6,3.2,3.41,3.84,3.39,3.83,4.93,5.27,4.27,5.59
e_0,2.19,1.58,1.79,1.76,1.44,1.72,3.76,3.65,3.87,3.75,3.8,3.32,4.88,4.48,5.7,4.64
g_0,1.46,1.54,2.15,1.82,1.77,1.94,2.98,3.38,3.9,3.16,3.96,4.98,4.59,3.57,4.55,4.58
