,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.65,1.46,0.9,1.48,1.25,1.02,0.6,0.66,0.48,0.75,0.53,0.51,0.37,0.47,0.7,0.52
d_1,1.5,0.65,1.47,1.4,1.22,1.18,0.58,0.88,0.51,0.39,0.49,0.41,0.37,0.25,0.45,0.42
f_1,1.39,1.3,0.65,1.38,1.12,1.18,0.48,0.44,0.47,0.63,0.44,0.68,0.32,0.47,0.44,0.47
c_1,1.1,1.53,1.22,0.65,1.75,1.16,0.6,0.3,0.6,0.53,0.45,0.49,0.4,0.35,0.43,0.38
b_1,1.43,1.48,1.77,0.79,0.62,2.18,0.64,0.53,0.58,0.65,0.69,0.45,0.48,0.43,0.47,0.41
a_1,2.12,1.68,1.52,1.93,0.87,0.57,0.82,0.67,0.59,0.95,0.78,0.66,0.52,0.5,0.49,0.74
h_1,2.01,2.22,2.36,1.9,1.98,1.55,0.56,0.7,0.75,0.9,0.66,0.62,0.7,0.56,0.6,0.66
d_0,1.26,2.66,2.34,2.94,2.27,1.75,1.08,0.6,0.72,1.05,0.87,0.72,0.62,0.66,0.78,0.67
c_0,2.24,1.41,2.45,2.95,2.21,1.94,1.05,1.18,0.61,0.95,0.9,0.79,0.68,0.65,0.79,0.72
g_1,2.0,2.43,2.32,2.29,2.17,1.77,0.81,0.82,0.91,0.54,0.97,0.9,0.51,0.65,0.79,0.67
b_0,2.26,1.94,2.68,2.97,3.22,1.84,1.04,0.81,0.52,0.88,0.57,0.75,0.72,0.7,0.67,0.76
f_0,2.17,2.24,3.22,2.49,2.54,1.83,1.07,0.98,0.83,0.69,0.83,0.58,0.72,0.52,0.83,0.7
h_0,2.51,2.35,2.44,2.64,2.28,2.27,1.35,1.01,0.91,1.42,0.88,0.9,0.98,0.78,0.67,0.69
g_0,2.19,3.22,3.0,3.09,2.58,2.38,1.06,1.13,0.94,1.38,0.89,0.93,0.65,1.0,0.86,0.78
e_0,3.39,2.16,3.36,2.95,2.87,2.44,1.26,1.13,1.02,0.94,1.06,0.62,0.9,0.8,0.54,0.8
a_0,2.59,2.48,3.08,3.16,3.11,3.19,1.3,1.03,1.01,1.32,0.65,1.02,1.04,0.87,1.04,0.57
